Location,Code,Object,Text,,,,,,,,,
2,d4b1,Фургон,"Так, старенький фургон. Ми багато пережили разом. Здебільшого Німеччину.",,,,,,,,,
2,d6i0,Оглянути Поштову скриньку,"Гей, ви тільки гляньте, листівка! Боже, вона така стара, що ледь не розсипається. Треба з нею обережніше. [Викресліть H2. Візьміть листівку. Відтепер ви можете використовувати її для подорожі до будь-якої локації (або сцени), яка там вказана. Коли захочете залишити поточну локацію, просто оберіть іншу зі списку. Це можна робити в будь-який момент. Деякі локації заблоковані — для них потрібно викреслити певні тригери. Зазвичай це стається, коли Гак дізнається про нове місце.] Гаразд, куди спершу?",,,,,,,,,
2,k3i0,Оглянути Двері,"Схожі на двері від туалетної кабінки. Графіті говорить: «Гей, сховай це назад у штани!»",,,,,,,,,
2,k4b4,Плакат + Мобільний телефон,"[Якщо D3: Читайте k4m1. Інакше:] Мабуть, мені варто спершу поглянути на цей плакат, перш ніж утнути щось кумедне.",,,,,,,,,
2,k4p5,Оглянути Плакат,"Це афіша «Блакитної Мамби», місцевого джаз-клубу. Там грають «Аліса та Корнерстоунз». Джазова співачка, га? Вона може бути ідеальною кандидаткою на роль Жінки в червоному. [Викресліть D3.]",,,,,,,,,
2,z6h3,Сміття,"Ритися у смітті? Звісно, чому б і ні? Не те щоб єдина різниця між мною та безхатченком полягала в тому, що я справді зберігаю геть непотрібний мотлох.",,,,,,,,,
2,z9z3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
3,b0b3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
3,z8b4,Металошукач + Мобільний телефон,"Е, так діло не піде. Мені доводиться залишати рюкзак біля входу, а все, що я маю при собі, ця штука засікає.",,,,,,,,,
3,z8i5,Металошукач + Листівка,"Не думаю, що вони будуть проти шматка картону.",,,,,,,,,
3,z8s0,Металошукач + Викрутка,"Я майже впевнений, що вона зроблена з металу. Треба пронести її якось інакше.",,,,,,,,,
3,r6e5,Металошукач + Передавач,"Я майже впевнений, що він зроблений з металу. Треба пронести його якось інакше.",,,,,,,,,
3,r6s2,Оглянути Металошукач,"Це одна з тих модних штук-воріт. Якщо я пронесу через них щось металеве, охоронець дізнається.",,,,,,,,,
3,v9e3,Охоронець + Іграшковий значок,"Ага, давай помахаємо цим у нього перед носом... Він точно, дідько б його взяв, поведеться. Особливо зблизька, телепню.",,,,,,,,,
3,v9i0,Оглянути Охоронця,"Виглядає так, наче ось-ось засне. Але готовий побитися об заклад, він миттєво прокинеться, якщо детектор почне пищати.",,,,,,,,,
3,v9p5,Охоронець + Листівка,"«Погляньте на цю листівку, яку я отримав від фаната!» — «Проходь, друже».",,,,,,,,,
3,v9s8,Охоронець + Викрутка,"Я шахрай, а не вбивця.",,,,,,,,,
3,v9t2,Охоронець + Презервативи,"(зітхає) Вибач, що розчаровую, але це тобі не «Ларрі у вихідному костюмі», друже.",,,,,,,,,
3,z9z3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
4,bob3,,"Гей, що ти робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
4,h4d4,Сміттєвий бак + Монета,"Виглядає легально. [Поверніть картку №06 до колоди. Якщо E8: Читайте h4m7. Якщо E3: Читайте h4k3. Інакше:] Якщо подумати, можливо, це була не найкраща ідея... але я точно, в біса, не збираюся ритися в тому смітті, щоб дістати свою монету. [Викресліть E3.]",,,,,,,,,
4,h4k3,Сміттєвий бак + Монета,"Схоже, ця монета втрачена назавжди — не збираюся копатися там заради неї. [Викресліть E8.]",,,,,,,,,
4,h4m7,Сміттєвий бак + Монета,[Перейдіть до локації 19 і прочитайте там v9z9.],,,,,,,,,
4,h4p5,Оглянути Сміттєвий бак,"[Якщо F2: Читайте h5h4. Інакше:] Гей, це виглядає корисним. [Викресліть E1. Візьміть картку №23.]",,,,,,,,,
4,h5h4,Оглянути Сміттєвий бак,"[Якщо F1: Читайте h6d2. Інакше:] А, ось вони. [Викресліть K9. Візьміть картку №26.]",,,,,,,,,
4,h6d2,Оглянути Сміттєвий бак,"А, ось вони. [Викресліть K2 та K9. Візьміть картку №26.]",,,,,,,,,
4,h7g4,Сміттєвий бак + Коробка пластівців,"Насправді мені досить подобається тягати з собою сміття, що кишить личинками, тож я залишу його собі. Але дякую за турботу.",,,,,,,,,
4,h7j8,Сміттєвий бак + Магніт,"Так, воно магнітне. Задоволений?",,,,,,,,,
4,h8z3,Фальшива уніформа,"Мені треба якось туди піднятися, і швидко.",,,,,,,,,
4,i7c7,Стіна + Креслення,"За цією стіною має бути псарня. Мабуть, гарна ідея — уникати собак.",,,,,,,,,
4,i7h8,Стіна + Магніт,"Нічого. Я думав, може, вдасться спіймати собаку за нашийник.",,,,,,,,,
4,i7r9,Стіна + Цегла,"[Якщо A9: Читайте j2x4. Інакше:] Авжеж, давай повернемо її до її родичів. Ну-ну, Цеглинко, ти тепер вдома. Я сумуватиму за тобою. Буквально, навіть. [Поверніть картку №05 до колоди.]",,,,,,,,,
4,j2x4,Стіна + Цегла,"Розумно, але колючий дріт просто розірве зубну нитку на шматки.",,,,,,,,,
4,j5h8,Контейнер + Магніт,Так і думав! Ця блискуча штука виявилася магнітною. [Викресліть F3. Візьміть картку №01.],,,,,,,,,
4,m2b3,Летючий телефон,"Гаразд, давайте зробимо це якомога швидше, поки ніхто не помітив.",,,,,,,,,
4,r0k9,,"[Покладіть картку №44 у цю локацію.] Гаразд, ми на півдорозі. Що тепер?",,,,,,,,,
4,t7e5,Вікно + Передавач,Це просто наробило б багато шуму.,,,,,,,,,
4,t7h7,Вікно + Креслення,"Згідно з кресленнями, це вікно до кімнати відпочинку охорони. Це також єдине вікно, яке не видно з охоронних веж.",,,,,,,,,
4,t7h9,Вікно + Повітряна кулька,"Так, це, безумовно, чудовий спосіб пронести презерватив.",,,,,,,,,
4,t7z9,Вікно + Вішалка,Занадто високо.,,,,,,,,,
4,t9b3,Вікно + Фальшива уніформа,Ця форма не дуже добре піддається киданню.,,,,,,,,,
4,t9b4,Вікно + Мобільний телефон,"Я міг би кинути його, але він просто вдариться об ґрати і розіб'ється. А це означало б, що я втрачу всі свої улюблені додатки.",,,,,,,,,
4,t9d4,Вікно + Монета,"Було б непоганим тренуванням з метання, але мені насправді не потрібна монета там нагорі.",,,,,,,,,
4,t9p5,Оглянути Вікно,Тут доволі товсті ґрати.,,,,,,,,,
4,i9t8,Вікно + Летючий телефон,"[Якщо D7: Читайте t9z3. Інакше:] Це блискуча ідея, і я обов'язково повинен це зробити, як тільки зможу забрати його зсередини, але спершу мені потрібно туди піднятися.",,,,,,,,,
4,t9z3,Вікно + Летючий телефон,Є! [Поверніть картку №08 до колоди. Викресліть B3. Покладіть картку №40 у цю локацію. Покладіть картку №41 у локацію 08.],,,,,,,,,
4,v1g6,Стіна + Монета,"Я міг би перекинути її через стіну, але навіщо?",,,,,,,,,
4,v1i0,Оглянути Стіну,"Нічого не входить, нічого не виходить. Шкода, що ці контейнери не можна ставити один на один. Мабуть, вони врахували це, коли купували їх.",,,,,,,,,
4,v1t0,Стіна + Зубна нитка,"Я не можу її кинути, вона занадто легка.",,,,,,,,,
4,v4i0,Оглянути Контейнер,"Фу! Смердить так, ніби зграя котів влаштувала тут оргію і здохла. Гей, чекай... Ззаду стирчить щось блискуче, але я не можу дотягнутися.",,,,,,,,,
4,z9z3,,"Гей, що ти робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
5,b0b3,,"Гей, що ти робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
5,i6i0,Оглянути Ліфт,[Якщо B5 і F6: Читайте c0g4. Якщо J2: Читайте i7e5. Інакше:] Він захищений клавіатурою. Мені знадобиться чотиризначний код. [Викресліть J1.],,,,,,,,,
5,i7e5,Оглянути Ліфт,Що це? Клавіатура... і ще один чотиризначний код?!,,,,,,,,,
5,k9d3,Двері + Викрутка,"Я міг би... якби це не був запобіжний замок. І мені не дуже зручно зламувати замок тут, у головному коридорі.",,,,,,,,,
5,n0n0,Клавіатура,Введімо 2-0-2-0. [Нічого не відбувається.],,,,,,,,,
5,s0s0,Клавіатура,"Можливо, вони забули встановити код... [Ви вводите 0-0-0-0.]",,,,,,,,,
5,s6y5,Клавіатура,Введімо 0-6-1-5. [Нічого не відбувається.],,,,,,,,,
5,t0r1,Увійти в зону відвідувань,[Перейдіть до сцени C.],,,,,,,,,
5,u2u2,Клавіатура,"Спробуймо 4-2-4-2. [На дисплеї написано «Без паніки!», але більше нічого не відбувається. Візьміть картку №42.]",,,,,,,,,
5,u4u4,Клавіатура,[Ви вводите чотири четвірки. Нічого не відбувається.],,,,,,,,,
5,c0g4,Клавіатура,"Я знаю код ліфта, у мене є креслення... але мені все ще бракує маскування.",,,,,,,,,
5,y0l7,Клавіатура,"Гаразд, спробуймо 1-0-6-7. [Читайте z0p5.]",,,,,,,,,
5,y5s6,Клавіатура,Введімо 1-5-0-6. [Нічого не відбувається.],,,,,,,,,
5,c1r5,Креслення,"Гаразд, час уважніше поглянути на ці креслення. [Викресліть K1. Візьміть картку №43.]",,,,,,,,,
5,y9l4,Клавіатура,"Гаразд, спробуймо рік на монеті, 1-9-6-4. [Нічого не відбувається.]",,,,,,,,,
5,y9n2,Клавіатура,Спробуймо 1-9-2-2. [Нічого не відбувається.],,,,,,,,,
5,f6s1,Клавіатура,Спробуймо 7-6-0-1. [Нічого не відбувається.],,,,,,,,,
5,y9s4,Клавіатура,Подивимося... 1-9-0-4. [Нічого не відбувається.],,,,,,,,,
5,h3k6,Двері + Ключ,Сидить як влитий! [Викресліть G8. Видаліть картку №18 з гри. Перейдіть до локації 11.],,,,,,,,,
5,h3p5,Оглянути Двері,"[Якщо G8: Читайте h6r1. Інакше:] Замкнено, звісно ж.",,,,,,,,,
5,h6r1,Увійти в комору,[Перейдіть до локації 11.],,,,,,,,,
5,i1m4,Кондиціонер,"Гаразд, так, впустімо трохи повітря! Фух, так, так краще.",,,,,,,,,
5,z0p5,Клавіатура,"[Ліфт із брязкотом починає рухатися. Викресліть B5. Видаліть накладку картки №57. Якщо F6: Читайте c0g4. Інакше:] Але, мабуть, спершу мені варто добре роздивитися креслення.",,,,,,,,,
5,z9z3,,"Гей, що ти робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
6,bob3,,"Гей, що ти робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
6,k8r3,Оглянути Сейф,"Замкнено, звичайно. Ще один чотиризначний код?",,,,,,,,,
6,i7n0,Сейф,"Може, це день народження дівчинки і поточний рік, 6-7-2-0. Ні, нічого.",,,,,,,,,
6,i7y1,Сейф,"Гаразд, це останнє, що я спробую. 6-7-1-1. [Сейф клацає і відчиняється.] [Викресліть A4. Візьміть картку №18.]",,,,,,,,,
6,n0n0,Сейф,[Ви вводите 2-0-2-0.],,,,,,,,,
6,n0y1,Сейф,"Добре, спробуймо 2-0-1-1.",,,,,,,,,
6,p7p5,Оглянути Коня,"Я б поговорив з ним, але мені здається, він трохи захрип.",,,,,,,,,
6,p9d3,Кінь + Викрутка,"Гей, він відкривається! «Це не Троянський кінь. Тут немає нічого важливого».",,,,,,,,,
6,p9h2,Кінь + Снігова куля,"Фільм про копів-напарників, який ось-ось вийде.",,,,,,,,,
6,r3v8,Дівчинка + Снігова куля,[Викресліть B7. Перейдіть до сцени D.],,,,,,,,,
6,s6w7,Сейф,"День народження дівчинки — давай, це має бути воно! 0-6-0-7.",,,,,,,,,
6,s6y5,Сейф,[Ви вводите 0-6-1-5.],,,,,,,,,
6,s7w6,Сейф,"День народження дівчинки, 0-7-0-6.",,,,,,,,,
6,i4j9,Комп'ютер + Викрутка,"Мусі потрібно, щоб я підключив до нього передавач.",,,,,,,,,
6,t4m6,Комп'ютер + Передавач,Чудова ідея! Якби ж у мене був передавач... Він у шафці зовні.,,,,,,,,,
6,t5r1,Комп'ютер + Передавач,Чудова ідея! Якби ж у мене був передавач... Куди я його поклав?,,,,,,,,,
6,t7e2,Комп'ютер + Передавач,"Гаразд, усе готово. [Видаліть картку №03 з гри. Викресліть B6.]",,,,,,,,,
6,c5g8,Комп'ютер + Фальшива уніформа,Спершу скомбінуй це всередині.,,,,,,,,,
6,i9t4,Комп'ютер,"Дідько, я справді сподівався, що вона буде настільки вдячна, що віддасть мені свій телефон.",,,,,,,,,
6,c5h6,Комп'ютер + Фальшива уніформа,Це не має жодного сенсу. Мені потрібно підключити передавач.,,,,,,,,,
6,t9v3,Комп'ютер,"Хм, що тепер?",,,,,,,,,
6,u2u2,Сейф,"Гаразд, спробуймо 4-2-4-2. Хто замикає рушник? [Візьміть картку №42.]",,,,,,,,,
6,f6n0,Сейф,"Можливо, це 7-6-2-0. Ні, нічого.",,,,,,,,,
6,x5p6,Оглянути Годинник,Він зупинився.,,,,,,,,,
6,f6s1,Сейф,"Гей, спробуймо 7-6-0-1 без жодної причини!",,,,,,,,,
6,y0i7,Сейф,"Гей, спробуймо 1-0-6-7 без жодної причини!",,,,,,,,,
6,f6y1,Сейф,"Гаразд, це воно. 7-6-1-1. [Сейф клацає і відчиняється.] [Викресліть A4. Візьміть картку №18.]",,,,,,,,,
6,g6d3,Сейф + Викрутка,"Хотів би я, щоб це було так просто.",,,,,,,,,
6,j8e8,Дівчинка + Летючий телефон,Не вийде. Мій телефон у шафці зовні.,,,,,,,,,
6,j8g0,Дівчина + Плаваюча клітина,[Перейдіть до сцени D.],,,,,,,,,
6,j8g8,Дівчина + Фальшива уніформа,Спершу мені треба пронести уніформу всередину.,,,,,,,,,
6,j8h6,Дівчина + Фальшива уніформа,[Перейдіть до сцени D.],,,,,,,,,
6,j8i0,Поговорити з дівчиною,[Перейдіть до сцени D.],,,,,,,,,
6,j8t5,Дівчина + Віник,"Б'юся об заклад, вона надто «зайнята», щоб прибирати в кабінеті свого батька.",,,,,,,,,
6,i9i4,Сейф,"Гаразд, рік на монеті: 1-9-6-4.",,,,,,,,,
6,y9n2,Сейф,Спробуємо 1-9-2-2.,,,,,,,,,
6,y9s4,Сейф,"Подивимося... 1-9-0-4. «Це через тебе їм доводиться писати ""не пити"" на відбілювачі, еге ж?»",,,,,,,,,
6,z0b3,Сейф,"Можливо, код, який надіслав мені Муха: 1-0-6-7. [Нічого не відбувається.]",,,,,,,,,
6,y0y0,Сейф,"Гаразд, спробуємо час із годинника: 1-0-1-0.",,,,,,,,,
6,y1i7,Сейф,"Окей, це воно. 1-1-6-7. [Сейф клацає і відчиняється.] [Викресліть A4. Візьміть картку №18.]",,,,,,,,,
6,i5s6,Сейф,[Ви вводите 1-5-0-6.],,,,,,,,,
6,j8z0,Дівчина + Ключ,"Їй, мабуть, не варто знати, що він у мене є...",,,,,,,,,
6,k7p5,Оглянути Сейф,"Замкнено. Схоже, мені треба підібрати чотиризначний код. [Викресліть I2.]",,,,,,,,,
6,z9z3,,"Гей, що ти робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
7,bob3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
7,e6t7,Сушарка + Сірники,Обережно... Я поки що не хочу їх підпалювати. [Викресліть F1 та K2.],,,,,,,,,
7,e6t8,Сушарка + Сірники,"Гадаю, ця сушарка досить гаряча. Річ у тім... вони все ще у в'язниці.",,,,,,,,,
7,e7f4,Сушарка + Сірники,"Так, гадаю, я міг би використати це, щоб висушити їх. [Викресліть F1 та K2.]",,,,,,,,,
7,e7m5,Сушарка + Сірники,Але сірники вже сухі.,,,,,,,,,
7,p1i0,Оглянути Мило,"Мило — це... це таке 20-те століття, розумієш?",,,,,,,,,
7,p1m4,Мило + Креслення,"Не думаю, що є потреба позначати, де тут туалети.",,,,,,,,,
7,p1p5,Мило + Рушник,Я не збираюся зараз приймати душ.,,,,,,,,,
7,p1r9,Мило + Цегла,"Ні, вони й так достатньо важкі.",,,,,,,,,
7,p2i0,Оглянути Дзеркало,"Ах, Гаку, ти красунчик. [Викресліть G1. Візьміть картку №20.]",,,,,,,,,
7,s3k5,Раковина + Іграшковий значок,Прання не зробить його більш правдоподібним.,,,,,,,,,
7,s3m4,Раковина + Сірники,Навіщо мені їх мочити?,,,,,,,,,
7,s3t7,Раковина + Чайні пакетики,Якби ж то була гаряча вода.,,,,,,,,,
7,v9i0,Оглянути Вентиляцію,"Звідси надходить повітря. Занадто високо, не дістати.",,,,,,,,,
7,x7h5,Кабінка + Фальшива уніформа,"Так, трохи приватності нікому не завадить. [Перейдіть до локації 09. Додайте накладку №57.]",,,,,,,,,
7,x7i0,Оглянути Кабінку,Зайнято.,,,,,,,,,
7,x7v8,Кабінка + Коктейль,"Не думаю, що мені варто пити це тут.",,,,,,,,,
7,z9z3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
8,b0b3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
8,h6p5,Оглянути Трубу,"Кажуть, таке треба мати в кожному домі.",,,,,,,,,
8,p4p5,Оглянути Годинник,"Найкращий час — 6:30, як не крути.",,,,,,,,,
8,r9d3,Шафа + Викрутка,"Ага, саме звідси я взяв цього поганця.",,,,,,,,,
8,c2e8,Вікно + Летючий телефон,"Я витратив стільки часу, щоб підняти його сюди; навіщо мені його відпускати?",,,,,,,,,
8,i1j9,Відкрита труба + Викрутка,Труби вже немає.,,,,,,,,,
8,r9h2,Шафа + Снігова куля,"Ні, просто ні. Навіщо ставити її тут на шафу?!",,,,,,,,,
8,c2i0,Оглянути Вікно,"Чудово, тепер треба просто втягнути ту форму... [Викресліть D7. Візьміть картку №22. Приберіть накладку №44 та картку №34.]",,,,,,,,,
8,i9j9,Вікно + Викрутка,"Якби я хотів його відчинити, я б просто... відчинив його.",,,,,,,,,
8,i9v8,Вікно + Снігова куля,"Я міг би викинути це, але навіщо?",,,,,,,,,
8,v3k6,Шафа + Ключ,Я не бачу замкової щілини.,,,,,,,,,
8,k2i0,Оглянути Відкриту трубу,"Сподіватимемося, вона не веде до туалету нагорі.",,,,,,,,,
8,v3m9,Шафа + Ключ,"Я отримав те, що треба. І, до речі, вона не замкнена...",,,,,,,,,
8,c2i7,Оглянути Вікно,"Схоже, я не залишив відбитків.",,,,,,,,,
8,k2k7,Відкрита труба + Труба,"Та ні, поки що зійде.",,,,,,,,,
8,m2i0,Оглянути Вікно,"Нарешті. Затягуємо, поки ніхто не побачив. [Викресліть C7. Візьміть картку №08. Приберіть накладку №41 та картку №40.]",,,,,,,,,
8,v3p5,Оглянути Шафу,"Ну, що тут у нас? [Викресліть G2. Візьміть картку №17.]",,,,,,,,,
8,c2j0,Вікно + Сірники,"Гаразд, так, викиньмо їх. В яблучко! [Поверніть картку №26. Викресліть F2.]",,,,,,,,,
8,z9v9,Вікно + Сірники,просто викинемо сірники... [Поверніть картку №26. Викресліть F2.],,,,,,,,,
8,m2j0,Вікно + Сірники,"Гаразд, повернімо це на місце, поки ніхто не помітив. [Приберіть накладку №45. Локації 09 та 10 тепер заблоковані.]",,,,,,,,,
8,z9z3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
8,c2k7,Вікно + Труба,Вона не пролазить між ґратами.,,,,,,,,,
8,c2t5,Вікно + Мітла,Викинути її? Потім буде пекельно важко дістати назад.,,,,,,,,,
8,c2z0,Вікно + Ключ,Не треба; вікно не замкнене.,,,,,,,,,
8,c6d3,Годинник + Викрутка,Я не годинникар.,,,,,,,,,
8,d3z4,Сірники,"Ох, дідько. Ці сірники наскрізь мокрі! [Викресліть G6. Візьміть картку №26.]",,,,,,,,,
8,g8d3,Труба + Викрутка,"Ого, це було аж надто легко. [Викресліть G1. Візьміть картку №16. Покладіть картку №45.]",,,,,,,,,
8,m2k7,Вікно + Труба,Вікно відчинене. Немає потреби його розбивати.,,,,,,,,,
8,m2t5,Вікно + Мітла,Вікно відчинене. Немає потреби його розбивати.,,,,,,,,,
8,m2z0,Вікно + Ключ,Прикинь: Вікно. Відчинене.,,,,,,,,,
8,p1j9,Вікно + Викрутка,"Якби я хотів його відчинити, я б просто... відчинив його.",,,,,,,,,
8,p1v8,Вікно + Снігова куля,Мій телефон — не піньята.,,,,,,,,,
9,b0b3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
9,d9b3,Охоронець + Фальшива уніформа,Моя виглядає точнісінько як його! [Перейдіть до сцени A.],,,,,,,,,
9,d9i0,Оглянути Охоронця,"Він їсть. Здається, не помічає мене.",,,,,,,,,
9,d9p5,Охоронець + Листівка,"«Не зараз, я їм. Проходь, друже».",,,,,,,,,
9,d9s8,Охоронець + Викрутка,"Я шахрай, а не вбивця.",,,,,,,,,
9,g3c7,Карта в'язниці + Креслення,Кухня прямо за тією стійкою.,,,,,,,,,
9,g3i0,Оглянути Карту в'язниці,Це план в'язниці. Ми знаходимося тут.,,,,,,,,,
9,g3s8,Карта в'язниці + Викрутка,"Не думаю, що варто псувати мапу.",,,,,,,,,
9,k3i0,Оглянути Двері кухні,Замкнено.,,,,,,,,,
9,k3z0,Двері кухні + Ключ,Не той ключ.,,,,,,,,,
9,v8m4,Сміття + Сірники,Я не збираюся підпалювати сміття.,,,,,,,,,
9,v8z3,Сміття + Фальшива уніформа,Вона вже на мені.,,,,,,,,,
9,z9z3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
10,bob3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
10,c8k7,Камера + Труба,"Щойно хтось помітить, що вона не працює, одразу здіймуть ґвалт.",,,,,,,,,
10,d3j9,Камера + Викрутка,Не можу. Занадто високо.,,,,,,,,,
10,d3m6,Камера + Передавач,"Єдине, що тут транслюється — це твої спалахи геніальності.",,,,,,,,,
10,d5i8,Гітара,Статистика трафіку на «Шосе в пекло» проти «Сходів у небо».,,,,,,,,,
10,m1e5,Труба,Вона закрита від камери книжками.,,,,,,,,,
10,m5io,Оглянути Книжки,"Книжки із саморозвитку. «Моя перша заточка», «Контрабанда для чайників».",,,,,,,,,
10,m5k8,Оглянути Книжки,Не дістати.,,,,,,,,,
10,m5t5,Книжки + Мітла,Навіщо мені це?,,,,,,,,,
10,b5e1,Снігова куля + Труба,Занадто далеко. І камера мене помітить.,,,,,,,,,
10,m5v4,Книжки + Мітла,"Книжки починають падати, як доміно. Остання вдаряє по сніговій кулі. [Викресліть D1. Приберіть картку №48. Перейдіть до локації 09 та читайте g7e4.]",,,,,,,,,
10,b5p5,Оглянути Снігову кулю,"Не можу дістати так, щоб мене не помітили. [Викресліть J8.]",,,,,,,,,
10,b5to,Оглянути Снігову кулю,Тепер мені просто треба якось змусити снігову кулю впасти в трубу.,,,,,,,,,
10,c8e8,Камера + Летючий телефон,"Зробити фото... На жаль, єдиний додаток, який я знаю — це «Змійка». [Візьміть картку №49.]",,,,,,,,,
10,c8g8,Камера + Фальшива уніформа,На записі буде лише чорний екран.,,,,,,,,,
10,o8io,Оглянути Камеру,Ненавиджу ці штуки.,,,,,,,,,
10,r6c7,Карти,Я б показав тобі картковий фокус...,,,,,,,,,
10,i9x3,,[Покладіть картку №48 у цю локацію.],,,,,,,,,
10,z9z3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
11,b0b3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
11,c9t8,Відкрита вентиляція + Летючий телефон,"[Якщо C7: Читайте d0t4. Якщо B3: Читайте c9v7. Інакше:] Хотів би я мати це зараз, але воно все ще в шафці зовні.",,,,,,,,,
11,k0j9,Стелаж + Викрутка,"Та ні, у мене є цікавіші справи, ніж розбирати цю штуку.",,,,,,,,,
