Number,Problem,Tip 1,Tip 2,Solution
233,Where are those $*#%! blueprints?!,"Inside the archive, obviously.",You've opened the door; now get inside!,"In location 17, check out the open door to get blueprints and trigger f6."
234,Fly left me a message in the bathroom.,It's in the prison bathroom (loc 07).,His message can't be on paper.,"In location 07, steam up the mirror by turning faucets to hot to trigger e5."
235,What's that on the mirror in location 07?,This is not an upside-down four.,You need a keypad code. Use Fly's image nodes.,Nodes correspond to keypad positions (1067 or 7601). Try 1067 in location 05 to trigger b5.
236,I know the elevator code. Now what?,How about you go upstairs and look around?,There's a uniform outside the window.,"In location 08, combine window with magnifying glass to retrieve uniform and trigger d7."
237,I got the uniform inside. Now what?,"What is it, again, that you do with a uniform?",Find a quiet place where you can put it on.,"In location 07, combine bathroom stall with fake uniform to trigger a2."
238,I can roam freely now but what next?,Look around the new rooms you unlocked.,Follow the unicorn.,"In location 10, combine the snow globe with the magnifying glass to trigger i8."
239,I feel like I'm missing something.,Look around the prison.,Check out the guard's room.,"In location 08, combine the cabinet with magnifying glass to get a screwdriver and trigger g2."
240,I got this screwdriver. Now what?,Notice any screws around?,Check out the door in the mess hall.,"In location 09, combine the door with screwdriver to unscrew the grill and trigger k4."
241,Screwdriver use #2?,Look around the prison.,Check out what else you could use it on.,"In location 08, combine the pipe with the screwdriver to unscrew it and trigger g1."
242,I unscrewed the door grill. Now what?,Where does this door lead to anyway?,You need some sort of ramp to slide the globe down.,"In location 09, combine the hole in the door with the pipe to trigger b8."
243,I feel like I'm missing something.,Look around the prison.,Check out the mess hall.,"In location 09, pick up the broom standing against the back wall to trigger g4."
244,How do I get the globe into the pipe?,Ever played dominoes?,Nudge the books with a long stick.,"In location 10, combine books with broom to get the snow globe and trigger d1."
245,What am I supposed to use this globe for?,There's a unicorn inside!,Little girls like unicorns. Met any lately?,"In location 06, combine the little girl with the snow globe to trigger b7."
246,Safe code in director's office?,Passwords have some emotional meaning.,The code must be the little girl's birthday.,"Girl is 9. Birthday was June 7. Born June 7, 2011. Try 6711 in location 06 to trigger a4."
247,Found a key in a safe. What's it for?,Found anything inside the prison that's locked?,Check out the door on the left in the hallway.,"In location 05, combine the door on the left with the key to trigger g8."
248,Stuck in prison storage room.,Take a close look at everything you got so far.,Have a look at the prison blueprints.,Combine the blueprints with the magnifying glass to trigger h5.
249,Blueprints instruction?,What do the blueprints tell you?,You need to open that air vent.,Combine the air vent with the broom to trigger k3.
250,Need cellphone inside the prison.,Sometimes focus on something else.,"There are two main objectives, you know.",You need to get ahead in THE WOMAN IN RED story arc first.
251,Need cellphone inside. Air mail?,"Have you considered ""air mail"" yet?",Make a balloon.,"In location 16, combine helium bottles with condoms to get a balloon and trigger a5."
252,Cellphone inside. Balloon?,"Have you considered ""air mail"" yet?",Attach the balloon to your cellphone.,Combine cellphone with balloon to create a floating cell and trigger f8.
253,Floating cell is ready. Now what?,Listen to Elsa and let it go.,Place it at the unguarded window behind the prison.,"In location 04, combine the window with the floating cell to trigger b3."
254,I need my cellphone back.,Where did you put it?,Check out the prison guard's room.,"In location 08, combine the window with magnifying glass to retrieve the cell and trigger c7."
255,Missing something? Transmitter?,Where did the transmitter go?,Check inside your pockets.,Combine fake uniform with magnifying glass to retrieve transmitter and trigger a3.
256,Transmitter use inside?,Remember what Fly told you.,Plug it into the warden's computer.,"In location 06, combine the computer with the transmitter to trigger b6."
257,How do I get my cellphone to Fly?,Listen to Elsa and let it go.,Use the open air vent in the storage room.,"In location 11, combine open air vent with floating cell to trigger c1."
258,Fly is out. Now what?,Don't you have other things to do?,"There is another main objective, you know.",You're done with this story arc. Now finish THE WOMAN IN RED.
