Location,Code,Object,Text
3,z8b4,Metal Detector + Cell Phone,"Yeah, that's not gonna work. I have to leave my backpack at the door and anything I carry on my body is getting picked up by this thing."
3,z8i5,Metal Detector + Postcard,I don't think they'll mind a piece of cardboard.
3,z8s0,Metal Detector + Screwdriver,I'm pretty sure it's made of metal. Got to get that in some other way.
3,r6e5,Metal Detector + Transmitter,I'm pretty sure it's made of metal. Got to get that in some other way.
3,r6s2,Inspect Metal Detector,"It's one of those fancy walkthrough-gate-thingies. If I carry anything metal through there, the guard's gonna know."
3,v9e3,Guard + Toy Badge,"Yeah, let's wave it around before his face... He sure as heck is gonna fall for it. Especially from up close, doofus."
3,v9i0,Inspect Guard,He looks like he's about to fall asleep. But I bet he'd wake up instantly if that detector starts making noises.
3,v9p5,Guard + Postcard,"""Look at this postcard I got from a fan!"" - ""Move on, buddy."""
3,v9s8,Guard + Screwdriver,"I'm a crook, not a murderer."
3,v9t2,Guard + Condoms,"(sigh) Sorry to break it to you, but this isn't Leisure Suit Larry, mate."
3,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
4,bob3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
4,h4d4,Trash Can + Coin,"Seems legit. [Return card #06 to the deck. If E8: Read h4m7. If E3: Read h4k3. Otherwise:) On second thought, maybe this wasn't the wisest of ideas... but I'm sure as heck not gonna dig through that trash to retrieve my coin. [Cross off E3.]"
4,h4k3,Trash Can + Coin,Looks like this coin's lost forever-not gonna dig for it in there. [Cross off E8.]
4,h4m7,Trash Can + Coin,[Go to location 19 and read v9z9 there.]
4,h4p5,Inspect Trash Can,"If [F2: Read h5h4. Otherwise:] Hey, that looks useful. [Cross off E1. Take card #23.]"
4,h5h4,Inspect Trash Can,"[If F1: Read h6d2. Otherwise:] Ah, there they are. [Cross off K9. Take card #26.]"
4,h6d2,Inspect Trash Can,"Ah, there they are. [Cross off K2 and K9. Take card #26.]"
4,h7g4,Trash Can + Box of Cereal,"I actually quite enjoy carrying maggot infested trash around with me, so I'll keep it. But thanks for being considerate."
4,h7j8,Trash Can + Magnet,"Yeah, it's magnetic. Happy?"
4,h8z3,Fake Uniform,"I need to get up there somehow, and fast."
4,i7c7,Wall + Blueprints,Behind this wall should be the dog kennel. Probably a good idea to avoid the dogs.
4,i7h8,Wall + Magnet,Nothing. I thought maybe I can catch a dog by its collar.
4,i7r9,Wall + Brick,"If [A9: Read j2x4. Otherwise:] Sure, let's put it back with its kind. There, there, Bricksy, you're home now. I'll miss you. Literally, even. [Return card #05 to the deck.]"
4,j2x4,Wall + Brick,"Clever, but the barbed wire would just rip the dental floss to pieces."
4,j5h8,Container + Magnet,Thought so! That shiny thing turned out to be magnetic. [Cross off F3. Take card #01.]
4,m2b3,Floating Cell,"Alright, let's get to that as quickly as possible before anyone notices."
4,r0k9,,"[Put card #44 into this location.] Alright, we're halfway there. Now what?"
4,t7e5,Window + Transmitter,It would just make a lot of noise.
4,t7h7,Window + Blueprints,"According to the blueprints, this is the window to the guard's break room. It's also the only window that can't be seen from the guard towers."
4,t7h9,Window + Balloon,"Yes, that's certainly an excellent way to smuggle in a condom."
4,t7z9,Window + Coat Hanger,Too high.
4,t9b3,Window + Fake Uniform,This uniform doesn't lend itself to throwing very well.
4,t9b4,Window + Cell Phone,"I could throw it, but it would just hit the bars and break. And that would mean I would lose all my favorite apps."
4,t9d4,Window + Coin,"Would make for a good throwing exercise, but I don't really need the coin up there."
4,t9p5,Inspect Window,Some thick bars on this one.
4,i9t8,Window + Floating Cell,"If [D7: Read t9z3. Otherwise:] That's a brilliant idea, and I should definitely do that once I can retrieve it from the inside, but I need to get up there first."
4,t9z3,Window + Floating Cell,I got it! [Return card #08 to the deck. Cross off B3. Put card #40 into this location. Put card #41 into location 08.]
4,v1g6,Wall + Coin,"I could flip it over the wall, but why?"
4,v1i0,Inspect Wall,"Nothing goes in, nothing comes out. Too bad these containers aren't stackable. They probably considered this when they bought them."
4,v1t0,Wall + Dental Floss,"I can't really throw it, it's too light."
4,v4i0,Inspect Container,"Ugh! Smells like a bunch of cats had an orgy in here and died. Hey, wait... There's something shiny sticking out at the back, but I can't reach it."
4,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
5,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
5,i6i0,Inspect Elevator,[If both B5 and F6: Read c0g4. If J2: Read i7e5. Otherwise:] It's protected by a keypad. I'll need a four-digit code. [Cross off J1.]
5,i7e5,Inspect Elevator,What's this? A keypad ... and another four-digit code?!
5,k9d3,Door + Screwdriver,I could ... if it wasn't a safety lock. And I'm not really comfortable cracking a lock here in the main hallway.
5,n0n0,Keypad,Let's type in 2-0-2-0. [Nothing happens.]
5,s0s0,Keypad,Maybe they forgot to set a code ... [You type in 0-0-0-0.]
5,s6y5,Keypad,Let's type in 0-6-1-5. [Nothing happens.]
5,t0r1,Enter Visiting Area,[Go to scene C.]
5,u2u2,Keypad,"Let's try 4-2-4-2. [The display reads ""Don't Panic!"", but nothing else happens. Take card #42.]"
5,u4u4,Keypad,[You enter four fours. Nothing happens.)
5,c0g4,Keypad,"I know the elevator code, I have the blueprints ... but I'm still missing a disguise."
5,y0l7,Keypad,"Alright, let's try 1-0-6-7. [Read z0p5.]"
5,y5s6,Keypad,Let's type in 1-5-0-6. [Nothing happens.]
5,c1r5,Blueprints,"Alright, time to take a closer look at those blueprints. [Cross off K1. Take card #43.]"
5,y9l4,Keypad,"Alright, let's try the year on the coin, 1-9-6-4. [Nothing happens.]"
5,y9n2,Keypad,Let's try 1-9-2-2. [Nothing happens.]
5,f6s1,Keypad,Let's try 7-6-0-1. [Nothing happens.]
5,y9s4,Keypad,Let's see... 1-9-0-4. [Nothing happens.]
5,h3k6,Door + Key,Fits like a glove! [Cross off G8. Remove card #18 from the game. Go to location 11.]
5,h3p5,Inspect Door,"[If G8: Read h6r1. Otherwise:] Locked, naturally."
5,h6r1,Enter Storage Room,[Go to location 11.]
5,i1m4,Air Conditioning,"Alright, yeah, let's get some air in! Phew, yeah, that's better."
5,z0p5,Keypad,[The elevator clanks into motion. Cross off B5. Remove the overlay card #57. If F6: Read c0g4. Otherwise:] But I should probably get a good look at the blueprints first.
5,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
6,bob3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
6,k8r3,Inspect Safe,"Locked, of course. Another four-digit code?"
6,i7n0,Safe,"Maybe it's the little girl's birthday and the current year, 6-7-2-0. Nope, nothing."
6,i7y1,Safe,"OK, this is the last thing I'm trying. 6-7-1-1. [The safe clicks and swings open.] [Cross off A4. Take card #18.]"
6,n0n0,Safe,[You type in 2-0-2-0.]
6,n0y1,Safe,"OK, let's go for 2-0-1-1."
6,p7p5,Inspect Horse,"I'd talk to it, but I think it's a little hoarse."
6,p9d3,Horse + Screwdriver,"Hey, it opens! ""This is not a Trojan Horse. There's nothing important to find here."""
6,p9h2,Horse + Snow Globe,A buddy cop movie waiting to happen.
6,r3v8,Girl + Snow Globe,[Cross off B7. Go to scene D.]
6,s6w7,Safe,"Little girl's birthday-come on, this has got to be it! 0-6-0-7."
6,s6y5,Safe,[You type in 0-6-1-5.]
6,s7w6,Safe,"Little girl's birthday, 0-7-0-6."
6,i4j9,Computer + Screwdriver,Fly needs me to plug in the transmitter into it.
6,t4m6,Computer + Transmitter,Great idea! If I actually had the transmitter ... It's in the locker outside.
6,t5r1,Computer + Transmitter,Great idea! If I actually had the transmitter ... Where did I put it again?
6,t7e2,Computer + Transmitter,"Alright, we're all set up. [Remove card #03 from the game. Cross off B6.]"
6,c5g8,Computer + Fake Uniform,Combine it inside first.
6,i9t4,Computer,"Damn, I was really hoping she would be so grateful that she'd give me her phone."
6,c5h6,Computer + Fake Uniform,That doesn't make any sense. I need to plug in the transmitter.
6,t9v3,Computer,"Hm, now what?"
6,u2u2,Safe,"OK, let's try 4-2-4-2. Who locks up a towel? [Take card #42.]"
6,f6n0,Safe,"Maybe it's 7-6-2-0. Nope, nothing."
6,x5p6,Inspect Clock,It's stopped.
6,f6s1,Safe,"Hey, let's try 7-6-0-1 for no particular reason!"
6,y0i7,Safe,"Hey, let's try 1-0-6-7 for no particular reason!"
6,f6y1,Safe,"OK, this is it. 7-6-1-1. [The safe clicks and swings open.] [Cross off A4. Take card #18.]"
6,g6d3,Safe + Screwdriver,I wish it were that easy.
6,j8e8,Girl + Floating Cell,No can do. My cell phone is in the locker outside.
6,j8g0,Girl + Floating Cell,[Go to scene D.]
6,j8g8,Girl + Fake Uniform,"First, I need to get the uniform inside."
6,j8h6,Girl + Fake Uniform,[Go to scene D.]
6,j8i0,Talk to Girl,[Go to Scene D.]
6,j8t5,Girl + Broom,"I bet she's too ""busy"" to clean up her father's office."
6,i9i4,Safe,"Alright, year on the coin, 1-9-6-4."
6,y9n2,Safe,Let's try 1-9-2-2.
6,y9s4,Safe,"Let's see... 1-9-0-4. ""It's because of you that they have to put 'dont drink' on bleach, isnt it?"""
6,z0b3,Safe,"Maybe the code Fly sent me, 1-0-6-7. [Nothing happens.)"
6,y0y0,Safe,"Alright, let's try the time from the clock, 1-0-1-0."
6,y1i7,Safe,"OK, this is it. 1-1-6-7. [The safe clicks and swings open.] [Cross off A4. Take card #18.]"
6,i5s6,Safe,[You type in 1-5-0-6.]
6,j8z0,Girl + Key,She probably shouldn't know that I have it...
6,k7p5,Inspect Safe,Locked. Looks like I need to figure out the four-digit code. [Cross off 12.]
6,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
7,bob3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
7,e6t7,Dryer + Matches,Careful... I don't want to set them on fire just yet. [Cross off F1 and K2.]
7,e6t8,Dryer + Matches,I guess this dryer is hot enough. Thing is ... they're still inside the prison.
7,e7f4,Dryer + Matches,"Yeah, I guess I could use this to dry them. [Cross off F1 and K2.]"
7,e7m5,Dryer + Matches,But the matches are already dry.
7,p1i0,Inspect Soap,"Soap's just... it's just so 20th century, you know?"
7,p1m4,Soap + Blueprints,I don't think it's necessary to mark where the bathrooms are.
7,p1p5,Soap + Towel,I'm not gonna take a shower now.
7,p1r9,Soap + Brick,"Nah, they're both already heavy enough."
7,p2i0,Inspect Mirror,"Ah, Hook, you handsome devil. [Cross off G1. Take card #20.]"
7,s3k5,Sink + Toy Badge,washing it is not going to make it more believable.
7,s3m4,Sink + Matches,Why would I want to make them wet?
7,s3t7,Sink + Tea Bags,If I only had some hot water.
7,v9i0,Inspect Vent,This is where the air comes from. It's too high up to reach.
7,x7h5,Bathroom Stall + Fake Uniform,"Yeah, a little privacy never hurt anyone. [Go to location 09. Add overlay card #57.]"
7,x7i0,Inspect Bathroom Stall,It's occupied.
7,x7v8,Bathroom Stall + Cocktail,I don't think I should drink that in here.
7,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
8,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
8,h6p5,Inspect Pipe,Some people say every house needs these.
8,p4p5,Inspect Clock,"The best time is 6:30, hands down."
8,r9d3,Cabinet + Screwdriver,"Yep, that's where I have this bad boy from."
8,c2e8,Window + Floating Cell,I spent so much time getting it up here; why would I let it go?
8,i1j9,Open Pipe + Screwdriver,The pipe is already gone.
8,r9h2,Cabinet + Snow Globe,"No, just no. Why place it on top of a cabinet here?!"
8,c2i0,Inspect Window,"Perfect, now I just have to reel in that uniform.... [Cross off D7. Take card #22. Remove overlay card #44 and card #34.]"
8,i9j9,Window + Screwdriver,"if I wanted to open it, I could just... open it."
8,i9v8,Window + Snow Globe,"I could throw it out, but why?"
8,v3k6,Cabinet + Key,I don't see a key hole.
8,k2i0,Inspect Open Pipe,Let's just hope this doesn't lead to the upstairs bathroom.
8,v3m9,Cabinet + Key,"I got what I needed. And, by the way, it's unlocked..."
8,c2i7,Inspect Window,Looks like I didn't leave any fingerprints.
8,k2k7,Open Pipe + Pipe,"Nah, it'll be fine for now."
8,m2i0,Inspect Window,Finally. Let's pull that in before anyone sees it. [Cross off C7. Take card #08. Remove overlay card #41 and card #40.]
8,v3p5,Inspect Cabinet,"Well, what do we have here? [Cross off G2. Take card #17.]"
8,c2j0,Window + Matches,"OK, yeah, let's throw them out. bullseye! [Return card #26. Cross off F2.]"
8,z9v9,Window + Matches,let's just throw the matches out... [Return card #26. Cross off F2.]
8,m2j0,Window + Matches,"Alright, let's put it back before anyone notices. [Remove overlay card #45. Locations 09 and 10 are now locked.]"
8,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
8,c2k7,Window + Pipe,It doesn't fit between the bars.
8,c2t5,Window + Broom,Throw it out? Seems like it'd be hell to get it back.
8,c2z0,Window + Key,No need; the window isn't locked.
8,c6d3,Clock + Screwdriver,I'm not a clockmaker.
8,d3z4,Matches,"Ah, rats. These matches are soaking wet! [Cross off G6. Take card #26.]"
8,g8d3,Pipe + Screwdriver,"Whoa, this was way too easy. [Cross off G1. Take card #16. Put card #45.]"
8,m2k7,Window + Pipe,Window is open. No need to smash it.
8,m2t5,Window + Broom,Window is open. No need to smash it.
8,m2z0,Window + Key,Get this: The window. Is. Open.
8,p1j9,Window + Screwdriver,"if I wanted to open it, I could just... open it."
8,p1v8,Window + Snow Globe,My cell's no pinata.
9,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
9,d9b3,Guard + Fake Uniform,Mine looks just like his! [Go to scene A.]
9,d9i0,Inspect Guard,He's eating. He doesn't seem to notice me.
9,d9p5,Guard + Postcard,"""Not now, I'm eating. Move on, buddy."""
9,d9s8,Guard + Screwdriver,"I'm a crook, not a murderer."
9,g3c7,Prison Map + Blueprints,kitchen is right behind that counter.
9,g3i0,Inspect Prison Map,It's a map of the prison. We are here.
9,g3s8,Prison Map + Screwdriver,I don't think I should vandalize the map.
9,k3i0,Inspect Kitchen Door,Locked.
9,k3z0,Kitchen Door + Key,Wrong key.
9,v8m4,Trash + Matches,I'm not going to set the trash on fire.
9,v8z3,Trash + Fake Uniform,I'm already wearing it.
9,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
10,bob3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
10,c8k7,Camera + Pipe,the second anyone notices that it's not working they're gonna sound the alarm.
10,d3j9,Camera + Screwdriver,Can't. It's too high up.
10,d3m6,Camera + Transmitter,The only thing being transmitted here are your flashes of genius.
10,d5i8,Guitar,Highway to Hell vs Stairway to Heaven traffic numbers.
10,m1e5,Pipe,It's blocked from the camera's view by the books.
10,m5io,Inspect Books,"Self help books. ""My First Shiv"", ""Contraband for Dummies""."
10,m5k8,Inspect Books,Out of reach.
10,m5t5,Books + Broom,Why would I?
10,b5e1,Snow Globe + Pipe,Too far. And the camera would see me.
10,m5v4,Books + Broom,books start toppling over like dominoes. The last one hits the snow globe. [Cross off D1. Remove card #48. Go to location 09 and read g7e4.]
10,b5p5,Inspect Snow Globe,Can't reach it without being seen. [Cross off J8.]
10,b5to,Inspect Snow Globe,Now I just have to get the snow globe to fall into the pipe somehow.
10,c8e8,Camera + Floating Cell,"Take a photo... Unfortunately, the only app I know is the snake. [Take card #49.]"
10,c8g8,Camera + Fake Uniform,feed would only show black.
10,o8io,Inspect Camera,Hate those things.
10,r6c7,Cards,I'd show you a card trick...
10,i9x3,,[Put card #48 into this location.]
10,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
11,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
11,c9t8,Open Air Vent + Floating Cell,"[If C7: Read d0t4. If B3: Read c9v7. Otherwise:] I wish I had that right now, but it's still in a locker outside."
11,k0j9,Storage Unit + Screwdriver,"Nah, I've got better things to do than taking this thing apart."
11,b0g8,Cans + Fake Uniform,The colors ain't getting any better than they already are.
11,t0t0,Broom,I don't need another one.
11,c9v7,Open Air Vent + Floating Cell,"Yeah, I wish I had that right now, but it's still floating in front of a window."
11,b0i0,Inspect Cans,"Paint, mostly."
11,x1i0,Inspect Storage Unit,Nothing of note.
11,b0t5,Cans + Broom,"It's a broom, not a paint-brush."
11,d0t4,Open Air Vent + Floating Cell,"[If B6: Read d1r1. Otherwise:] Great idea, but if Fly is caught with contraband, this could go sour."
11,x1t5,Storage Unit + Broom,It's clean enough ... I think.
11,b7p5,Inspect Air Vent,It's very high up.
11,b7t1,Air Vent + Broom,[If H5: Read b7t4. Otherwise:] Maybe I should inspect the prison blueprints a bit closer.
11,b7t4,Air Vent + Broom,shaft that leads straight up to Fly's cell. [Cross off K3. Remove card #20. Put card #51.]
11,b7t8,Air Vent + Floating Cell,"Good idea, but it's closed."
11,b9d3,Air Vent + Screwdriver,I think all it needs is a little nudge and it's gonna fly open.
11,c9p5,Inspect Open Air Vent,I can see a bit of...
11,e4j9,Cans + Screwdriver,"[You open one of the cans.] Yep, paint."
11,j5z9,Books,"""The Evolution of Paper Size, Books 1-3""—Great reading, I'm sure."
11,d1r1,Open Air Vent + Floating Cell,[You let the balloon float into the air vent. Fly pulls the string. A keycard flutters down! Go to scene G.]
11,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
12,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
12,g1r7,Bouncer + Coat Hanger,"Er, no, I'm not even gonna try that."
12,g1r9,Bouncer + Brick,you want my identification? Identify THIS! [Smash brick on bouncer's head. He scratches his nose.]
12,h9x4,Valve + Lead Pipe,"[Rrrrrgh-pfff] Water flow's back. [Cross off G9. If H1: Read i3m9. Otherwise: Alright, what now?]"
12,i3m9,,[Go to location 15 and read j5p0 there.]
12,j7i0,Inspect Valve,"It's a valve, valving away in the night."
12,k0g4,Inspect Valve,Hm. This thing is stuck.
12,k1g2,Inspect Valve,I think I'm done with that.
12,m5e7,Neon Sign,"This is the ""Blue Mamba"", the hottest jazz club in town."
12,t1z7,Harbor Area,I hear they make port holes round so waves won't hit you square in the face.
12,z0g2,Bouncer + Cell Phone,I don't have his number.
12,z0g6,Bouncer + Coin,[Cross off F4. Go to scene J.]
12,z0g8,Bouncer + Fake Uniform,I don't think this is gonna fool him.
12,z0i0,Talk to Bouncer,[Go to scene J.]
12,z0m7,Bouncer + Clothes,He's not a hobo.
12,z0r3,Graffiti,"Ay Caramba, indeed!"
12,z0t0,Bouncer + Dental Floss,"Er, I don't think this would be the smartest move."
12,z0v2,Bouncer + Cocktail,I'm not giving that back!
12,z0z3,Bouncer + Stamp,[Cross off E9. Go to scene J.]
12,z6d4,Moon + Coin,"If I hold the coin up to the moon, they look similar. Maybe I need to take my meds."
12,z6p5,Inspect Moon,All of a sudden it's night. The designer is a complete idiot.
12,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
12,b2h7,Moon + Blueprints,"If the prison were on the moon, this might help."
12,b2j6,Moon + Magnet,I wonder if my magnet is strong enough to attract the moon...
12,b2j8,Moon + Brick,"[The moon crashes into Cantaloop, killing everyone. Take card #28. Engage zombie mode.]"
12,b2x8,Moon + Condoms,"You've actually never used a condom, have you?"
12,g1c1,Bouncer + Cereal Box,[Cross off G3. Go to scene J.]
12,g1e3,Bouncer + Toy Badge,I don't think this is gonna fool him.
12,g1p0,,That went well. I think I got the first half of my crew.
12,g1p4,Bouncer + Tea Bags,"[Bouncer crosses his arms and shakes his head.] Hm, guess not."
13,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
13,b6h8,Rusty Key + Magnet,The key is too far away.
13,b6r7,Rusty Key + Coat Hanger,Not in front of the bartender.
13,b6r9,Rusty Key + Brick,Throwing things at the key won't help.
13,b6v5,Rusty Key + Bottle,Throwing things won't help.
13,c7j6,Barkeeper + Brick,"Er, no. I don't think I'd stand a chance."
13,c7k0,Barkeeper + Bottle,[Cross off H7. Go to scene A.]
13,c7x8,Barkeeper + Condoms,I don't think he's into me.
13,c7x9,Barkeeper + Tea Bags,[Cross off H8. Go to scene A.]
13,d5j6,Jukebox + Brick,Everything else in here is already broken.
13,d5j8,Jukebox + Magnet,Never gonna work.
13,d5k0,Jukebox + Bottle,[If D9: Read d6t9. Otherwise:] The bottle is empty.
13,d6t9,Jukebox + Bottle,"Yeah, good idea, but it's not even on."
13,e3h3,Rusty Key + Rusty Key,I think I'm having an episode of déjà vu ... [Matrix mode.]
13,e3i0,Inspect Rusty Key,It's out of reach.
13,e3t0,Rusty Key + Dental Floss,Lasso the key? Never gonna work.
13,h9d5,Inspect Bottle,An empty plastic bottle. [Cross off C8. Take card #07.]
13,k1d4,Jukebox + Coin,[Return card #06. If E8: Read k1m9. If E3: Read k1k7. Otherwise: I think the jukebox is not even on.]
13,k1k7,Jukebox + Coin,Did I just waste a coin on a jukebox that's not even on? [Cross off E8.]
13,k1m9,Jukebox + Coin,[Go to location 19 and read v9z9 there.]
13,k1p5,Inspect Jukebox,"plays 37 remixes of ""Boogie Woogie Extravaganza""."
13,r8i0,Talk to Alice,"[If B1: Read r8k6. Otherwise:] First, I need to get her off that stage."
13,r8k6,Talk to Alice,Don't want the whole band watching over us as I talk to her.
13,r8v2,Alice + Cocktail,I don't think she's allowed to drink while working.
13,v8b4,Barkeeper + Cell Phone,I don't have his number.
13,v8d4,Barkeeper + Coin,[Cross off H6. Go to scene A.]
13,v8p5,Talk to Barkeeper,[Go to scene A.]
13,v8r3,Barkeeper + Cocktail,[Cross off H9. Go to scene A.]
13,x0t2,Alice + Condoms,[Take card #33.]
13,x2m7,Alice + Bottle,It's hopeless. She's got her keeper's watchful eyes on me.
13,z9v7,Today's Newspaper,There's the stamp I gave to the bouncer! IT'S WORTH HOW MUCH?!
13,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
13,x0v5,Alice + Bottle,[If D9: Read x2m7. Otherwise:] Why would she want an empty bottle?
14,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
14,i8i0,Inspect WC Door,"[If B1: Read v0b0. If C4: Read i9i5. If E4: Read t8p9. Otherwise:] Locked, naturally."
14,g3j6,Bar Door + Brick,The barkeeper is right behind this door.
14,g3j8,Bar Door + Magnet,[You maneuver the key through the window.] Yes! Got it. [Cross off F7. Take card #10.]
14,h8x3,Broom,"Ugh, it's crawling with maggots."
14,t8p9,Enter WC,[Go to location 15.]
14,i9i5,Enter WC,"No, my work here is done."
14,v0b0,,"(splurch, splurch)... ""Ugh, ewww!"" I should hurry up and get Alice off that stage."
14,z7b3,Bar Door + Fake Uniform,I could pretend I'm a cop.
14,z7b5,Bar Door + Rusty Key,"Wrong door, genius."
14,j9r9,WC Door + Brick,I prefer to solve problems with my brains.
14,p2h8,Boxes + Magnet,No magnetic objects in here.
14,p8i0,Inspect Boxes,I prefer thinking outside of the box.
14,t8h3,WC Door + Rusty Key,"Yup, that's the one. [Cross off E4. Remove card #10.] Ew, what's that smell? [Go to location 15.]"
14,z7p5,Inspect Bar Door,"[If B1: Read z7v2. Otherwise:] ""Personnel Only""."
14,z7v2,Enter Bar,"Sure, now that the barkeeper's gone. [Go to location 13.]"
14,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
15,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
15,j7t9,,[Explosion in the bowl. Molasses oozes out. Cross off C4. This location is now locked. Go to location 13.]
15,b7v9,Sign,Shouldn't this be above the toilet?
15,m9z6,,just ... put your hand in... warm soggy oats. [Cross off H1. If G9: Read j5p0. Otherwise: Read p0b8.]
15,d2j6,Vending Machine + Brick,Think! There's a less violent way to get those condoms.
15,e2d4,Vending Machine + Coin,"[Remove card #06. Cross off C9. Take card #11.] Hey, look, I got a two-pack!"
15,k8g6,Trash Can + Coin,[Return card #06. If E8: Read k8h6. If E3: Read k8h5. Otherwise: I'm not gonna retrieve it from here. Cross off E3.]
15,k8h6,Trash Can + Coin,[Cross off E8.]
15,e2p5,Inspect Vending Machine,"According to this, they are ""Tobacco-Flavored""."
