Scene,Trigger,Person,EN,UK,RU
Z,,Hook,I've spent all this time thinking about how I can get back at White for what he did to me and the perfect opportunity has finally presented itself.,"Я весь цей час думав, як помститися Вайту за те, що він зі мною зробив, і нарешті трапилася ідеальна нагода.","Я все это время думал, как отомстить Уайту за то, что он со мной сделал, и наконец представилась идеальная возможность."
Z,,Mike,"Hook, if you're talking about the ITP-","Хук, якщо ти говориш про ITP...","Хук, если ты говоришь об ITP..."
Z,,Hook,"I'm gonna steal it from him like he stole ten years of my life, Mike.","Я вкраду це в нього, як він вкрав десять років мого життя, Майку.","Я украду это у него, как он украл десять лет моей жизни, Майк."
Z,,,Mike laughs.,Майк сміється.,Майк смеется.
Z,,Mike,"Oh, I'd love to see that. (Sid, don't you think we could- That is what I'm saying. Oh, shut up, ya old hag, you have no idea what you're t-We'll talk about this later.) Hook? Sorry, buddy, I think you're on your own with this one. Need to spend some quality time with the family for a change. Plus, I've gotten old! You should see my crow's feet. I don't think I'd be of much help anymore.","О, я б хотів це побачити. (Сід, хіба ти не думаєш, що ми могли б... Я ж це й кажу. Ой, стули пельку, стара відьмо, ти й гадки не маєш, що... Ми поговоримо про це пізніше.) Хук? Вибач, друже, гадаю, тут ти сам по собі. Треба нарешті приділити час родині. До того ж, я постарів! Тобі варто побачити мої зморшки. Не думаю, що від мене тепер буде багато користі.","О, я бы хотел это увидеть. (Сид, разве ты не думаешь, что мы могли бы... Я же это и говорю. Ой, заткнись, старая карга, ты понятия не имеешь, что... Мы поговорим об этом позже.) Хук? Извини, дружище, думаю, тут ты сам по себе. Нужно наконец уделить время семье. К тому же, я постарел! Тебе стоит увидеть мои морщины. Не думаю, что от меня теперь будет много толку."
Z,,Hook,That's OK. Can you help me find a crew? I need at least two people.,Нічого. Чи можеш ти допомогти мені знайти команду? Мені потрібно щонайменше двоє людей.,Ничего. Можешь помочь мне найти команду? Мне нужно как минимум два человека.
Z,,Mike,"Sorry, buddy, I mean, I'd love to help you out, but ever since White became like the town's guardian ... Oh, you know that they want to make him mayor, right?","Вибач, друже, я б із радістю допоміг, але відколи Вайт став ніби ""захисником міста""... О, ти ж знаєш, що його хочуть зробити мером, так?","Извини, дружище, я бы с радостью помог, но с тех пор, как Уайт стал типа ""защитником города""... О, ты же знаешь, что его хотят сделать мэром, да?"
Z,,Hook,I heard.,Я чув.,Я слышал.
Z,,Mike,"Yeah, well, ever since he's in charge all the good ones have left Cantaloop. Probably because of you, too.","Так, ну, відколи він тут головний, усі профі покинули Канталуп. Мабуть, і через тебе теж.","Да, ну, с тех пор как он тут главный, все профи покинули Канталуп. Наверное, и из-за тебя тоже."
Z,,Hook,"There must be someone, Mike. You know I can make anything work, just give me some names.","Має ж хтось бути, Майку. Ти знаєш, я можу працювати з будь-ким, тільки дай мені імена.","Должен же кто-то быть, Майк. Ты знаешь, я могу работать с кем угодно, только дай мне имена."
Z,,Mike,I'll try. Who do you need?,Я спробую. Хто тобі потрібен?,Я попробую. Кто тебе нужен?
Z,,Hook,A hacker and a Woman in Red.,Хакер і Жінка в червоному.,Хакер и Женщина в красном.
Z,,Mike,"(A hacker and a Woman in Red he says.) Sid's also thinking. Well, you could always use a civilian as a Woman in Red.","(""Хакер і Жінка в червоному"", каже він.) Сід теж думає. Ну, ти завжди можеш використати когось із цивільних як Жінку в червоному.","(""Хакер и Женщина в красном"", говорит он.) Сид тоже думает. Ну, ты всегда можешь использовать кого-то из гражданских как Женщину в красном."
Z,,Hook,A civilian?,Цивільну?,Гражданскую?
Z,,Mike,"Sure. Heard of Kalkov? He pulled off a huge heist over in Biarritz last year, with no professionals on the job. Maybe you can find someone who could use the money.","Аякже. Чув про Калькова? Минулого року він провернув величезне пограбування в Біарріці без жодного професіонала в команді. Можливо, знайдеш когось, кому потрібні гроші.","Конечно. Слышал о Калкове? В прошлом году он провернул огромное ограбление в Биаррице без единого профессионала в команде. Может, найдешь кого-то, кому нужны деньги."
Z,,Hook,"I'll think about it, thanks.","Я подумаю про це, дякую.","Я подумаю об этом, спасибо."
Z,,Mike,"(Wha? No, that'd be stupid, he's not gonna-You tell him! Fine, I'll tell him.) Ugh, Hook? How desperately do you need a hacker?","(Що? Ні, це було б безглуздо, він не збирається... Сама йому скажи! Гаразд, я йому скажу.) Емм, Хук? Наскільки сильно тобі потрібен хакер?","(Что? Нет, это было бы глупо, он не собирается... Сама ему скажи! Ладно, я ему скажу.) Эмм, Хук? Насколько сильно тебе нужен хакер?"
Z,,Hook,Very.,Дуже.,Очень.
Z,,Mike,"Well, there's this kid, they call him ""Fly"". He's good. Sid says he's better than Jimmy the Screw. I think he may be your only option.","Ну, є один малий, його називають ""Муха"". Він вправний. Сід каже, що він кращий за Джиммі ""Гвинта"". Гадаю, це може бути твій єдиний варіант.","Ну, есть один пацан, его называют ""Муха"". Он хорош. Сид говорит, что он лучше Джимми ""Винта"". Думаю, это может быть твой единственный вариант."
Z,,Hook,But?,Але?,Но?
Z,,Mike,"He's doing time. They caught him on something minor, something to do with his mom's taxes I think. But he's good, he just needs a little guidance.","Він сидить. Його взяли на якійсь дрібниці, здається, щось пов'язане з податками його матері. Але він тямущий, йому просто потрібен наставник.","Он сидит. Его взяли на какой-то мелочи, кажется, что-то связанное с налогами его матери. Но он толковый, ему просто нужен наставник."
Z,,Hook,"Ok, thanks. I'll pay him a visit first thing.","Добре, дякую. Відвідаю його першим ділом.","Хорошо, спасибо. Навещу его первым делом."
Z,,Mike,"Good, good. Listen, pal, it's been good hearing your voice. If you're ever stuck give me a call, yeah? I can't believe I'm missing the biggest heist of my life because I'm on holiday in Bali! ","Добре, добре. Слухай, друже, приємно було тебе почути. Якщо колись застрягнеш — дзвони, добре? Не можу повірити, що пропускаю найбільше пограбування у своєму житті, бо я у відпустці на Балі!","Хорошо, хорошо. Слушай, дружище, приятно было тебя услышать. Если когда-нибудь застрянешь — звони, ладно? Не могу поверить, что пропускаю величайшее ограбление в своей жизни, потому что я в отпуске на Бали!"
Z,,Hook,"You got it, old man. Enjoy the sun. ","Домовились, старий. Насолоджуйся сонцем.","Договорились, старик. Наслаждайся солнцем."
Z,,,"The line clicks and you park in front of the old lighthouse. This will be your base of operations for the time being. You carry your few belongings upstairs and sit down on your mattress. White Mansion towers in the distance. You take a deep breath, then you get up. It's time.","Лінія клацає, і ви паркуєтесь перед старим маяком. Це буде ваша база операцій на найближчий час. Ви заносите свої нечисленні речі нагору та сідаєте на матрац. Вдалині височіє Маєток Вайта. Ви робите глибокий вдих, потім встаєте. Час настав.","Линия щелкает, и вы паркуетесь перед старым маяком. Это будет ваша база операций на ближайшее время. Вы заносите свои немногочисленные вещи наверх и садитесь на матрас. Вдали возвышается Особняк Уайта. Вы делаете глубокий вдох, затем встаете. Пора."
Z,,,"If you haven't already, take cards #12 and #38. Make sure you crossed off A1 on the trigger sheet. Go to location 01.","Якщо ви ще цього не зробили, візьміть картки №12 та №38. Переконайтеся, що ви викреслили А1 у списку тригерів. Перейдіть до локації 01.","Если вы еще этого не сделали, возьмите карты №12 и №38. Убедитесь, что вы вычеркнули А1 в списке триггеров. Перейдите в локацию 01."
A,,Hook,"Slow night, huh? ","Тиха нічка, га?","Тихая ночка, а?"
A,,Barkeeper,Says who?,Хто питає?,Кто спрашивает?
A,,Hook,"Me. Seriously, where is everyone? Shouldn't this be your prime time or something? ","Я. Серйозно, а де всі? Хіба зараз не має бути ""прайм-тайм"" або на кшталт того?","Я. Серьезно, а где все? Разве сейчас не самый разгар или типа того?"
A,,Barkeeper,"Ha! And what do you know about running a bar, pal? ","Ха! А що ти тямиш у керуванні баром, друже?","Ха! А что ты вообще смыслишь в управлении баром, приятель?"
A,,Hook,"Well, call me crazy, but don't you need customers to make money? ","Ну, можете вважати мене божевільним, але хіба вам не потрібні клієнти, щоб заробляти гроші?","Ну, можете считать меня психом, но разве вам не нужны клиенты, чтобы зарабатывать деньги?"
A,,Barkeeper,"Customers, yes. I tried that for a couple of years. Didn't work so well. Came in, trashed the place, pissed in the tenor saxophone, played darts with my jazz memorabilia ... Not doing that again. ","Клієнти, так. Я пробував це кілька років. Не дуже спрацювало. Приходили, трощили заклад, сцяли в тенор-саксофон, грали в дартс моїми джазовими сувенірами... Більше я на це не куплюся.","Клиенты, да. Я пробовал это пару лет. Не очень-то сработало. Приходили, громили заведение, ссали в тенор-саксофон, играли в дартс моими джазовыми сувенирами... Больше я на это не пойду."
A,,Hook,Right. So how do you make money now?,Ясно. І як же ти тепер заробляєш?,Ясно. И как же ты теперь зарабатываешь?
A,,Barkeeper,"We're the only public toilet in this area of the city. Whenever anyone needs to go, they come here. And I don't give out the key to the bathroom unless they buy a drink first. ","Ми — єдиний громадський туалет у цьому районі міста. Коли когось притисне, вони йдуть сюди. А я не даю ключ від вбиральні, поки вони не куплять напій.","Мы — единственный общественный туалет в этом районе города. Когда кому-то приспичит, они идут сюда. А я не даю ключ от туалета, пока они не купят выпивку."
A,,Hook,And that's supposed to work?,І це типу працює?,И это типа работает?
A,,Barkeeper,"Of course it does! I charge extravagantly, and best of all: they leave when they're done! Look around: Do you see anyone destroying my interior? Anyone picking up fights? Anyone talking my ear off? Well, until you came in, of course. I should have a word with Bernie. He's supposed to only let in those who look like they have to go. Did he give you a cocktail? ","Звісно, працює! Я деру скажені гроші, і що найкраще: вони йдуть, як тільки зроблять діло! Озирнись: бачиш когось, хто б нищив мій інтер'єр? Хтось лізе в бійку? Хтось присідає мені на вуха? Ну, поки ти не зайшов, звісно. Треба перекинутися слівцем з Берні. Він має впускати лише тих, хто виглядає так, ніби їм терміново треба ""до вітру"". Він дав тобі коктейль?","Конечно, работает! Я деру бешеные деньги, и что лучше всего: они уходят, как только сделают дело! Оглянись: видишь кого-нибудь, кто крушит мой интерьер? Кто-то лезет в драку? Кто-то приседает мне на уши? Ну, пока ты не зашел, конечно. Надо перекинуться парой слов с Берни. Он должен впускать только тех, кто выглядит так, будто им срочно надо ""до ветру"". Он дал тебе коктейль?"
A,,Hook,"Er ... yeah, he did. ","Е-е... так, дав.","Э-э... да, дал."
A,,Barkeeper,"That was my idea. Nobody turns down free stuff, and if they drink it, well ... Stronger than any marketing, I tell ya. ","Це була моя ідея. Ніхто не відмовляється від халяви, а якщо вони це вип'ють, ну... Це сильніше за будь-який маркетинг, кажу тобі.","Это была моя идея. Никто не отказывается от халявы, а если они это выпьют, ну... Это посильнее любого маркетинга, говорю тебе."
A,,Hook,OK ... but if you don't have guests ever why do you even have a band?,"Гаразд... але якщо у тебе ніколи немає гостей, навіщо взагалі гурт?","Ладно... но если у тебя никогда не бывает гостей, зачем вообще нужна группа?"
A,,Barkeeper,"Ha! For myself, of course. It's always been my dream to have a jazz bar, and what would a jazz bar be without the jazz? ","Ха! Для себе, звісно. Я завжди мріяв мати джаз-бар, а що це за джаз-бар без джазу?","Ха! Для себя, конечно. Я всегда мечтал иметь джаз-бар, а что это за джаз-бар без джаза?"
A,,Hook,"Right, right. Speaking of: would you mind if I talk to the singer real quick? ","Так, так. До речі: ти не проти, якщо я швиденько переговорю зі співачкою?","Да, да. Кстати: ты не против, если я быстренько переговорю с певицей?"
A,,Barkeeper,"You're not here to make trouble, are ya? Tryin' a break up my band? ","Ти ж тут не для того, щоб проблеми створювати, га? Хочеш розвалити мій гурт?","Ты же здесь не для того, чтобы проблемы создавать, а? Хочешь развалить мою группу?"
A,,Hook,"No, no. Just wanted to have a chat with her, that's all. ","Ні, ні. Просто хотів побалакати з нею, от і все.","Нет, нет. Просто хотел поболтать с ней, вот и всё."
A,,Barkeeper,"Sure you do. You stay away from Alice, you hear? I don't pay her to talk to winos like you. ","Авжеж. Тримайся подалі від Аліси, чув? Я плачу їй не за те, щоб вона теревенила з такими алкашами, як ти.","Конечно. Держись подальше от Алисы, слышишь? Я плачу ей не за то, чтобы она лясы точила с такими алкашами, как ты."
A,,Hook,Maybe I could talk to her between songs? Or on her breaks?,"Може, я міг би поговорити з нею між піснями? Або на перерві?","Может, я мог бы поговорить с ней между песнями? Или на перерыве?"
A,,Barkeeper,"Breaks ... ha, ha! We don't do breaks around here. They're on the entire night and nothing and no one's gonna change that, you hear? The only time they were allowed to stop playing was when we had a power outage. So forget it, you're not talking to anyone. ","Перерви... ха-ха! У нас тут перерв не буває. Вони грають всю ніч, і ніхто і ніщо цього не змінить, зрозумів? Єдиний раз, коли їм дозволили зупинитися — це коли у нас вирубило електрику. Тож забудь, ні з ким ти не говоритимеш.","Перерывы... ха-ха! У нас тут перерывов не бывает. Они играют всю ночь, и никто и ничто этого не изменит, понял? Единственный раз, когда им разрешили остановиться — это когда у нас вырубило электричество. Так что забудь, ни с кем ты говорить не будешь."
A,,Hook,"Hm, OK. That the key to the bathroom on the shelf behind you? Mind if I have it real quick? ","Хм, гаразд. Це ключ від вбиральні на полиці позаду тебе? Можна я його швиденько візьму?","Хм, ладно. Это ключ от туалета на полке позади тебя? Можно я его быстренько возьму?"
A,,Barkeeper,Customers only.,Тільки для клієнтів.,Только для клиентов.
A,,Hook,"Oh, I thought since you told me about your business model we'd be friends now and you'd let me have it for free. ","О, я думав, раз ти розповів мені про свою бізнес-модель, ми тепер друзі, і ти даси мені його безкоштовно.","О, я думал, раз ты рассказал мне о своей бизнес-модели, мы теперь друзья, и ты дашь мне его бесплатно."
A,,Barkeeper,"What do you think this is ... welfare? It's a business, pal, and you're not getting the bathroom key unless you order a drink first. ","Ти що думаєш, це тут... благодійність? Це бізнес, друже, і ти не отримаєш ключ від туалету, поки не замовиш випивку.","Ты что думаешь, это тут... собес? Это бизнес, приятель, и ты не получишь ключ от туалета, пока не закажешь выпивку."
A,,Hook,Well then... one drink please.,"Ну гаразд... один напій, будь ласка.","Ну ладно... один напиток, пожалуйста."
A,,Barkeeper,What do ya want?,Чого бажаєш?,Чего желаешь?
A,,Hook,What do you have that you could give me for free?,"А що в тебе є такого, що ти міг би дати мені безкоштовно?","А что у тебя есть такого, что ты мог бы дать мне бесплатно?"
A,,Barkeeper,How about a black eye?,Як щодо синця під оком?,Как насчет фингала под глазом?
A,,Hook,Er ... how about no?,"Е-е... як щодо ""ні""?","Э-э... как насчет ""нет""?"
A,,,Return to location 13.,Поверніться до локації 13.,Вернитесь в локацию 13.
A,C4,Hook,"Hey, so, I've been hearing this weird rumbling sound from the bathroom. Sounds like there's a leakage problem. ","Гей, слухай, я чув дивний гуркіт з туалету. Схоже, там щось прорвало.","Эй, слушай, я слышал странный грохот из туалета. Похоже, там что-то прорвало."
A,C4,Barkeeper,What? Again? You're kidding me!,Що? Знову? Ти жартуєш!,Что? Опять? Ты шутишь!
A,C4,Hook,"Nope, afraid not. ","Ні, боюся, що ні.","Нет, боюсь, что нет."
A,C4,Barkeeper,"Ugh, unbelievable. How did that happen? The door was locked. I even turn off the water to keep water costs low. ","Тьху, неймовірно. Як це сталося? Двері були замкнені. Я навіть воду перекриваю, щоб економити.","Тьфу, невероятно. Как это случилось? Дверь была заперта. Я даже воду перекрываю, чтобы экономить."
A,C4,Hook,"Don't know, but it really sounds pretty bad. ","Не знаю, але звучить справді кепсько.","Не знаю, но звучит и правда скверно."
A,C4,Barkeeper,But I can't leave here. What if I get a customer?,"Але я не можу звідси піти. Що, як зайде клієнт?",Но я не могу отсюда уйти. А вдруг зайдет клиент?
A,C4,Hook,"Oh, you can leave it to me, I'll take care of things while you're gone. ","О, можеш залишити це на мене, я подбаю про все, поки тебе не буде.","О, можешь оставить это на меня, я присмотрю за всем, пока тебя не будет."
A,C4,Barkeeper,Are you sure? You'll have loads of responsibilities.,Ти впевнений? Це купа відповідальності.,Ты уверен? Это куча ответственности.
A,C4,Hook,"I can handle it, trust me. ","Я впораюся, повір мені.","Я справлюсь, поверь мне."
A,C4,Barkeeper,"OK. You stay here and watch over my club, alright? And make sure no one touches Alice. ","Гаразд. Ти залишаєшся тут і наглядаєш за моїм клубом, зрозумів? І слідкуй, щоб ніхто не чіпав Алісу.","Ладно. Ты остаешься здесь и присматриваешь за моим клубом, понял? И следи, чтобы никто не трогал Алису."
A,C4,Hook,"Sure, sure. ","Звісно, звісно.","Конечно, конечно."
A,C4,Barkeeper,I want your word. Shake on it.,Дай слово. Потисни руку.,Дай слово. Пожми руку.
A,C4,Hook,"Er, yeah, OK. ","Е-е, так, гаразд.","Э-э, да, хорошо."
A,C4,Barkeeper,"I trust you. Don't do anything stupid or I will kill you, you hear? ","Я тобі довіряю. Не втни якоїсь дурниці, інакше я тебе вб'ю, чув?","Я тебе доверяю. Не натвори глупостей, иначе я тебя убью, слышал?"
A,C4,Hook,"I hear you, loud and clear. ","Чую, голосно і чітко.","Слышу, громко и четко."
A,C4,Barkeeper,Good ... Why is your arm so wet? And what's that smell?,Добре... Чому в тебе рука мокра? І що це за запах?,Хорошо... Почему у тебя рука мокрая? И что это за запах?
A,C4,Hook,"You better go, I think I heard another explosion. ","Тобі краще йти, здається, я чув ще один вибух.","Тебе лучше идти, кажется, я слышал еще один взрыв."
A,C4,Barkeeper,Right. Lemme just get my plunger and I'll be off.,Точно. Дай тільки візьму вантуз і я пішов.,Точно. Дай только возьму вантуз и я пошел.
A,C4,Hook,You're keeping your plunger behind the bar? Is that sanitary?,Ти тримаєш вантуз за барною стійкою? Це гігієнічно?,Ты держишь вантуз за барной стойкой? Это гигиенично?
A,C4,Barkeeper,"Ah, it's nothing. Just had an issue with the sink. ","А, пусте. Просто була проблема з раковиною.","А, ерунда. Просто была проблема с раковиной."
A,C4,Hook,"Well, that's reassuring. ","Що ж, це заспокоює.","Что ж, это обнадеживает."
A,C4,Barkeeper,I'm off. You pay attention.,Я пішов. А ти пильнуй.,Я пошел. А ты смотри в оба.
A,C4,Hook,Got it.,Зрозумів.,Понял.
A,C4,,Cross off B1. Return to location 13 and put card #31 there.,Викресліть B1. Поверніться до локації 13 та покладіть туди картку №31.,Вычеркните B1. Вернитесь в локацию 13 и положите туда карту №31.
A,H6,Hook,What does this coin buy me?,Що я можу купити за цю монету?,Что я могу купить на эту монету?
A,H6,Barkeeper,"Tryin' a be funny with me, are ya, pal? My cheapest drink starts at 30 bucks. ","Намагаєшся жартувати зі мною, так, друже? Мій найдешевший напій коштує від 30 баксів.","Пытаешься шутить со мной, да, приятель? Мой самый дешевый напиток стоит от 30 баксов."
A,H6,Hook,"Well, maybe if you invest this coin, in a couple of years- ","Ну, можливо, якщо ти інвестуєш цю монету, через пару років...","Ну, может, если ты инвестируешь эту монету, через пару лет..."
A,H6,Barkeeper,Funny. I said no.,Смішно. Я сказав «ні».,Смешно. Я сказал «нет».
A,H6,,Return to location 13.,Поверніться до локації 13.,Вернитесь в локацию 13.
A,H7,Hook,Would you refill this bottle for me?,Чи не міг би ти наповнити мені цю пляшку?,Не мог бы ты наполнить мне эту бутылку?
A,H7,Barkeeper,"Yeah, that's the downside of being in charge of this place: you can't just go to the bathroom whenever you want. ","Так, це недолік того, що ти тут головний: не можна просто піти в туалет, коли захочеш.","Да, это минус быть здесь главным: нельзя просто пойти в туалет, когда захочешь."
A,H7,Hook,I MEANT WITH TAP WATER! What kind of a bar is this?,Я МАВ НА УВАЗІ ВОДУ З-ПІД КРАНА! Що це за бар такий?,Я ИМЕЛ В ВИДУ ВОДУ ИЗ-ПОД КРАНА! Что это за бар такой?
A,H7,,Return to location 13.,Поверніться до локації 13.,Вернитесь в локацию 13.
A,H8,Hook,Could I have some water to brew me some tea?,"Можна мені трохи води, щоб заварити собі чаю?","Можно мне немного воды, чтобы заварить себе чай?"
A,H8,Barkeeper,Sure. That'll be 45 bucks.,Авжеж. З тебе 45 баксів.,Конечно. С тебя 45 баксов.
A,H8,Hook,For tap water?,За воду з-під крана?,За воду из-под крана?
A,H8,Barkeeper,"Yes. But feel free to get some water at a different bar. What's that? There aren't any other bars in Cantaloop? Sorry, pal, it's 45 bucks. ","Так. Але не соромся піти по воду в інший бар. Що таке? У Канталупі більше немає барів? Вибач, друже, це коштує 45 баксів.","Да. Но не стесняйся сходить за водой в другой бар. Что такое? В Канталупе больше нет баров? Извини, приятель, это стоит 45 баксов."
A,H8,,Return to location 13.,Поверніться до локації 13.,Вернитесь в локацию 13.
A,H9,Hook,What the hell is in this cocktail?,"Що, в біса, в цьому коктейлі?","Что, черт возьми, в этом коктейле?"
A,H9,Barkeeper,"Ah, yes, I created it myself. I call it ""The Brown Mamba"". ","А, так, я вигадав його сам. Я називаю його ""Коричнева Мамба"".","А, да, я придумал его сам. Я называю его ""Коричневая Мамба""."
A,H9,Hook,Brown?! But ... it's blue!,Коричнева?! Але... він же синій!,Коричневая?! Но... он же синий!
A,H9,Barkeeper,"Ah, that's just the nickname I give it. Between you and me, I spike it with a bit of laxative to drive more folks into my bar. In just six days, I've made more money than I ever have running a regular bar. Can you believe it? I'm a genius! ","А, це просто прізвисько. Між нами кажучи, я додаю туди трохи проносного, щоб загнати більше людей у свій бар. ... Я геній!","А, это просто прозвище. Между нами говоря, я добавляю туда немного слабительного, чтобы загнать больше людей в свой бар. ... Я гений!"
A,H9,,Return to location 13.,Поверніться до локації 13.,Вернитесь в локацию 13.
B,,Hook,Hi there! I'm looking for the plans of the prison here in town. For ... er... no particular reason.,Привіт! Я шукаю плани місцевої в'язниці. Просто... е-е... без особливої причини.,Привет! Я ищу планы местной тюрьмы. Просто... э-э... без особой причины.
B,,Secretary,Do you have an appointment?,Ви записані на прийом?,Вы записаны на прием?
B,,Hook,"Er ... no, but I have a very disarming smile. ","Е-е... ні, але в мене посмішка, що обеззброює.","Э-э... нет, но у меня обезоруживающая улыбка."
B,,Secretary,And a big mouth.,І довгий язик.,И длинный язык.
B,,Hook,Could I make an appointment for right now?,"Можна записатися на ""прямо зараз""?","Можно записаться на ""прямо сейчас""?"
B,,Secretary,We're fully booked until next year. You can come back then.,У нас все розписано до наступного року. Можете повернутися тоді.,У нас всё расписано до следующего года. Можете вернуться тогда.
B,,Hook,I don't have until next year. Isn't there any way to get the plans without an appointment?,Я не маю часу до наступного року. Невже немає способу отримати плани без запису?,У меня нет времени до следующего года. Неужели нет способа получить планы без записи?
B,,Secretary,"There is not. Please consider donating for the restoration of the church tower when you leave; the box is on your way out, thank you. ","Немає. Будь ласка, розгляньте можливість пожертви на реставрацію церковної вежі, коли будете йти; скринька на виході, дякую.","Нет. Пожалуйста, подумайте о пожертвовании на реставрацию церковной башни, когда будете уходить; ящик на выходе, спасибо."
B,,Hook,"Right. Well, what about the plans to your heart? Do I need an appointment for that? ","Ясно. Ну, а як щодо планів на шлях до вашого серця? Для цього теж потрібен запис?","Ясно. Ну, а как насчет планов (пути) к вашему сердцу? Для этого тоже нужна запись?"
B,,Secretary,I could give you the plans for the way out.,Я можу дати вам план виходу звідси.,Я могу дать вам план выхода отсюда.
B,,Hook,What if I took you out to dinner?,"А що, якби я запросив вас на вечерю?","А что, если я приглашу вас на ужин?"
B,,Secretary,You're not my type.,Ви не в моєму смаку.,Вы не в моем вкусе.
B,,Hook,"Why, what is your type? ","Чому, а який ваш тип?","Почему, а какой ваш тип?"
B,,Secretary,Rhesus negative.,Резус-негативний.,Резус-отрицательный.
B,,Hook,Someone ever tell you that your blood type is not the only thing about you that's negative?,"Вам хтось казав, що резус — це не єдине ""негативне"" у вас?","Вам кто-нибудь говорил, что резус — не единственное ""отрицательное"" в вас?"
B,,Secretary,WHAT DID YOU SAY?!,ЩО ВИ СКАЗАЛИ?!,ЧТО ВЫ СКАЗАЛИ?!
B,,Hook,"Nothing, I'm sorry. ","Нічого, вибачте.","Ничего, извините."
B,,Secretary,I thought so.,Мені теж так здалося.,Я так и думала.
B,,Hook,What if I got you some flowers?,А якщо я подарую вам квіти?,"А что, если я подарю вам цветы?"
B,,Secretary,I'm allergic to them.,У мене на них алергія.,У меня на них аллергия.
B,,Hook,I didn't even tell you which ones.,"Я навіть не сказав, які саме.","Я даже не сказал, какие именно."
