Location,Code,Object,Text
4,bob3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
4,h4d4,Мусорный бак + Монета,"Выглядит законно. [Верните карту №06 в колоду. Если E8: Читайте h4m7. Если E3: Читайте h4k3. Иначе:] Если подумать, возможно, это была не самая лучшая идея... но я точно, черт возьми, не собираюсь копаться в этом мусоре, чтобы достать свою монету. [Вычеркните E3.]"
4,h4k3,Мусорный бак + Монета,"Похоже, эта монета потеряна навсегда — не собираюсь копаться там ради неё. [Вычеркните E8.]"
4,h4m7,Мусорный бак + Монета,[Перейдите в локацию 19 и прочитайте там v9z9.]
4,h4p5,Осмотреть Мусорный бак,"[Если F2: Читайте h5h4. Иначе:] Эй, это выглядит полезным. [Вычеркните E1. Возьмите карту №23.]"
4,h5h4,Осмотреть Мусорный бак,"[Если F1: Читайте h6d2. Иначе:] А, вот они. [Вычеркните K9. Возьмите карту №26.]"
4,h6d2,Осмотреть Мусорный бак,"А, вот они. [Вычеркните K2 и K9. Возьмите карту №26.]"
4,h7g4,Мусорный бак + Коробка хлопьев,"На самом деле мне вполне нравится таскать с собой мусор, кишащий личинками, так что я оставлю его себе. Но спасибо за заботу."
4,h7j8,Мусорный бак + Магнит,"Да, оно магнитное. Доволен?"
4,h8z3,Поддельная форма,"Мне нужно как-то туда подняться, и быстро."
4,i7c7,Стена + Чертежи,"За этой стеной должен быть собачий питомник. Наверное, хорошая идея — избегать собак."
4,i7h8,Стена + Магнит,"Ничего. Я думал, может, удастся поймать собаку за ошейник."
4,i7r9,Стена + Кирпич,"[Если A9: Читайте j2x4. Иначе:] Конечно, давай вернем его к сородичам. Ну-ну, Кирпичик, ты теперь дома. Я буду скучать по тебе. Буквально, даже. [Верните карту №05 в колоду.]"
4,j2x4,Стена + Кирпич,"Умно, но колючая проволока просто разорвет зубную нить в клочья."
4,j5h8,Контейнер + Магнит,Так и думал! Эта блестящая штука оказалась магнитной. [Вычеркните F3. Возьмите карту №01.]
4,m2b3,Парящий телефон,"Ладно, давайте сделаем это как можно скорее, пока никто не заметил."
4,r0k9,,"[Положите карту №44 в эту локацию.] Ладно, мы на полпути. Что теперь?"
4,t7e5,Окно + Передатчик,Это просто наделало бы много шума.
4,t7h7,Окно + Чертежи,"Судя по чертежам, это окно в комнату отдыха охраны. Это также единственное окно, которое не видно со сторожевых вышек."
4,t7h9,Окно + Воздушный шар,"Да, это, безусловно, отличный способ пронести презерватив."
4,t7z9,Окно + Вешалка,Слишком высоко.
4,t9b3,Окно + Поддельная форма,Эта форма не очень хорошо поддается броскам.
4,t9b4,Окно + Мобильный телефон,"Я мог бы бросить его, но он просто ударится о решетку и разобьется. А это означало бы, что я потеряю все свои любимые приложения."
4,t9d4,Окно + Монета,"Было бы хорошим упражнением в метании, но мне на самом деле не нужна монета там наверху."
4,t9p5,Осмотреть Окно,Тут довольно толстые решетки.
4,i9t8,Окно + Парящий телефон,"[Если D7: Читайте t9z3. Иначе:] Это блестящая идея, и я обязательно должен это сделать, как только смогу забрать его изнутри, но сначала мне нужно туда подняться."
4,t9z3,Окно + Парящий телефон,Есть! [Верните карту №08 в колоду. Вычеркните B3. Положите карту №40 в эту локацию. Положите карту №41 в локацию 08.]
4,v1g6,Стена + Монета,"Я мог бы перебросить её через стену, но зачем?"
4,v1i0,Осмотреть Стену,"Ничего не входит, ничего не выходит. Жаль, что эти контейнеры нельзя ставить друг на друга. Наверное, они учли это, когда покупали их."
4,v1t0,Стена + Зубная нить,"Я не могу её бросить, она слишком легкая."
4,v4i0,Осмотреть Контейнер,"Фу! Воняет так, будто стая котов устроила тут оргию и сдохла. Эй, погоди... Сзади торчит что-то блестящее, но я не могу дотянуться."
4,z9z3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
5,b0b3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
5,i6i0,Осмотреть Лифт,[Если B5 и F6: Читайте c0g4. Если J2: Читайте i7e5. Иначе:] Он защищен клавиатурой. Мне понадобится четырехзначный код. [Вычеркните J1.]
5,i7e5,Осмотреть Лифт,Что это? Клавиатура... и еще один четырехзначный код?!
5,k9d3,Дверь + Отвертка,"Я мог бы... если бы это не был предохранительный замок. И мне не очень удобно взламывать замок здесь, в главном коридоре."
5,n0n0,Клавиатура,Введем 2-0-2-0. [Ничего не происходит.]
5,s0s0,Клавиатура,"Может, они забыли установить код... [Вы вводите 0-0-0-0.]"
5,s6y5,Клавиатура,Введем 0-6-1-5. [Ничего не происходит.]
5,t0r1,Войти в зону посещений,[Перейдите к сцене C.]
5,u2u2,Клавиатура,"Попробуем 4-2-4-2. [На дисплее написано «Без паники!», но больше ничего не происходит. Возьмите карту №42.]"
5,u4u4,Клавиатура,[Вы вводите четыре четверки. Ничего не происходит.]
5,c0g4,Клавиатура,"Я знаю код лифта, у меня есть чертежи... но мне все еще не хватает маскировки."
5,y0l7,Клавиатура,"Ладно, попробуем 1-0-6-7. [Читайте z0p5.]"
5,y5s6,Клавиатура,Введем 1-5-0-6. [Ничего не происходит.]
5,c1r5,Чертежи,"Ладно, пора взглянуть на эти чертежи поближе. [Вычеркните K1. Возьмите карту №43.]"
5,y9l4,Клавиатура,"Ладно, попробуем год на монете, 1-9-6-4. [Ничего не происходит.]"
5,y9n2,Клавиатура,Попробуем 1-9-2-2. [Ничего не происходит.]
5,f6s1,Клавиатура,Попробуем 7-6-0-1. [Ничего не происходит.]
5,y9s4,Клавиатура,Посмотрим... 1-9-0-4. [Ничего не происходит.]
5,h3k6,Дверь + Ключ,Сидит как влитой! [Вычеркните G8. Удалите карту №18 из игры. Перейдите в локацию 11.]
5,h3p5,Осмотреть Дверь,"[Если G8: Читайте h6r1. Иначе:] Заперто, естественно."
5,h6r1,Войти в кладовую,[Перейдите в локацию 11.]
5,i1m4,Кондиционер,"Ладно, да, впустим немного воздуха! Фух, да, так лучше."
5,z0p5,Клавиатура,"[Лифт с лязгом приходит в движение. Вычеркните B5. Удалите накладку карты №57. Если F6: Читайте c0g4. Иначе:] Но, наверное, сначала мне стоит хорошенько изучить чертежи."
5,z9z3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
6,bob3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
6,k8r3,Осмотреть Сейф,"Заперто, конечно. Еще один четырехзначный код?"
6,i7n0,Сейф,"Может, это день рождения девочки и текущий год, 6-7-2-0. Не, ничего."
6,i7y1,Сейф,"Ладно, это последнее, что я попробую. 6-7-1-1. [Сейф щелкает и распахивается.] [Вычеркните A4. Возьмите карту №18.]"
6,n0n0,Сейф,[Вы вводите 2-0-2-0.]
6,n0y1,Сейф,"Ладно, попробуем 2-0-1-1."
6,p7p5,Осмотреть Лошадь,"Я бы поговорил с ним, но, кажется, он немного охрип."
6,p9d3,Лошадь + Отвертка,"Эй, он открывается! «Это не Троянский конь. Здесь нет ничего важного»."
6,p9h2,Лошадь + Снежный шар,"Фильм про напарников-полицейских, который вот-вот выйдет."
6,r3v8,Девочка + Снежный шар,[Вычеркните B7. Перейдите к сцене D.]
6,s6w7,Сейф,"День рождения девочки — давай, это должно быть оно! 0-6-0-7."
6,s6y5,Сейф,[Вы вводите 0-6-1-5.]
6,s7w6,Сейф,"День рождения девочки, 0-7-0-6."
6,i4j9,Компьютер + Отвертка,"Мухе нужно, чтобы я подключил к нему передатчик."
6,t4m6,Компьютер + Передатчик,Отличная идея! Если бы у меня был передатчик... Он в шкафчике снаружи.
6,t5r1,Компьютер + Передатчик,Отличная идея! Если бы у меня был передатчик... Куда я его положил?
6,t7e2,Компьютер + Передатчик,"Ладно, всё готово. [Удалите карту №03 из игры. Вычеркните B6.]"
6,c5g8,Компьютер + Поддельная форма,Сначала скомбинируй это внутри.
6,i9t4,Компьютер,"Черт, я действительно надеялся, что она будет так благодарна, что отдаст мне свой телефон."
6,c5h6,Компьютер + Поддельная форма,Это не имеет никакого смысла. Мне нужно подключить передатчик.
6,t9v3,Компьютер,"Хм, что теперь?"
6,u2u2,Сейф,"Ладно, попробуем 4-2-4-2. Кто запирает полотенце? [Возьмите карту №42.]"
6,f6n0,Сейф,"Может быть, 7-6-2-0. Не, ничего."
6,x5p6,Осмотреть Часы,Они остановились.
6,f6s1,Сейф,"Эй, давай попробуем 7-6-0-1 без всякой причины!"
6,y0i7,Сейф,"Эй, давай попробуем 1-0-6-7 без всякой причины!"
6,f6y1,Сейф,"Ладно, это оно. 7-6-1-1. [Сейф щелкает и распахивается.] [Вычеркните A4. Возьмите карту №18.]"
6,g6d3,Сейф + Отвертка,"Хотел бы я, чтобы это было так просто."
6,j8e8,Девочка + Парящий телефон,Не выйдет. Мой телефон в шкафчике снаружи.
6,j8g0,Девушка + Плавающая клетка,[Перейдите к сцене D.]
6,j8g8,Девушка + Поддельная форма,Сначала мне нужно пронести форму внутрь.
6,j8h6,Девушка + Поддельная форма,[Перейдите к сцене D.]
6,j8i0,Поговорить с девушкой,[Перейдите к сцене D.]
6,j8t5,Девушка + Метла,"Держу пари, она слишком «занята», чтобы убираться в кабинете отца."
6,i9i4,Сейф,"Ладно, год на монете: 1-9-6-4."
6,y9n2,Сейф,Попробуем 1-9-2-2.
6,y9s4,Сейф,"Так-с... 1-9-0-4. «Это из-за тебя им приходится писать ""не пить"" на отбеливателе, да?»"
6,z0b3,Сейф,"Может, код, который прислал Муха: 1-0-6-7. [Ничего не происходит.]"
6,y0y0,Сейф,"Ладно, попробуем время с часов: 1-0-1-0."
6,y1i7,Сейф,"Окей, это оно. 1-1-6-7. [Сейф щелкает и открывается.] [Вычеркните A4. Возьмите карту №18.]"
6,i5s6,Сейф,[Вы вводите 1-5-0-6.]
6,j8z0,Девушка + Ключ,"Ей, пожалуй, не стоит знать, что он у меня есть..."
6,k7p5,Осмотреть Сейф,"Заперто. Похоже, нужно подобрать четырехзначный код. [Вычеркните I2.]"
6,z9z3,,"Эй, ты что творишь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
7,bob3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
7,e6t7,Сушилка + Спички,Осторожно... Я пока не хочу их поджигать. [Вычеркните F1 и K2.]
7,e6t8,Сушилка + Спички,"Думаю, эта сушилка достаточно горячая. Дело в том... что они все еще в тюрьме."
7,e7f4,Сушилка + Спички,"Да, думаю, я мог бы использовать это, чтобы их высушить. [Вычеркните F1 и K2.]"
7,e7m5,Сушилка + Спички,Но спички уже сухие.
7,p1i0,Осмотреть Мыло,"Мыло — это... это такой 20-й век, понимаешь?"
7,p1m4,Мыло + Чертежи,"Не думаю, что нужно отмечать, где здесь туалеты."
7,p1p5,Мыло + Полотенце,Я не собираюсь сейчас принимать душ.
7,p1r9,Мыло + Кирпич,"Не, они и так достаточно тяжелые."
7,p2i0,Осмотреть Зеркало,"Ах, Хук, ты красавчик. [Вычеркните G1. Возьмите карту №20.]"
7,s3k5,Раковина + Игрушечный значок,Стирка не сделает его более правдоподобным.
7,s3m4,Раковина + Спички,Зачем мне их мочить?
7,s3t7,Раковина + Чайные пакетики,Если бы только была горячая вода.
7,v9i0,Осмотреть Вентиляцию,"Отсюда поступает воздух. Слишком высоко, не достать."
7,x7h5,Кабинка + Поддельная униформа,"Да, немного уединения никому не повредит. [Перейдите в локацию 09. Добавьте накладку №57.]"
7,x7i0,Осмотреть Кабинку,Занято.
7,x7v8,Кабинка + Коктейль,"Не думаю, что мне стоит пить это здесь."
7,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
8,b0b3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
8,h6p5,Осмотреть Трубу,"Говорят, такое должно быть в каждом доме."
8,p4p5,Осмотреть Часы,"Лучшее время — 6:30, как ни крути."
8,r9d3,Шкаф + Отвертка,"Ага, именно отсюда я взял этого красавца."
8,c2e8,Окно + Парящий телефон,"Я потратил столько времени, чтобы затащить его сюда; зачем мне его отпускать?"
8,i1j9,Открытая труба + Отвертка,Трубы уже нет.
8,r9h2,Шкаф + Снежный шар,"Нет, просто нет. Зачем ставить его здесь на шкаф?!"
8,c2i0,Осмотреть Окно,"Отлично, теперь надо просто втянуть ту форму... [Вычеркните D7. Возьмите карту №22. Уберите накладку №44 и карту №34.]"
8,i9j9,Окно + Отвертка,"Если бы я хотел его открыть, я бы просто... открыл его."
8,i9v8,Окно + Снежный шар,"Я мог бы выбросить это, но зачем?"
8,v3k6,Шкаф + Ключ,Я не вижу замочной скважины.
8,k2i0,Осмотреть Открытую трубу,"Будем надеяться, она не ведет в туалет наверху."
8,v3m9,Шкаф + Ключ,"Я получил то, что нужно. И, кстати, она не заперта..."
8,c2i7,Осмотреть Окно,"Похоже, я не оставил отпечатков."
8,k2k7,Открытая труба + Труба,"Да нет, пока сойдет."
8,m2i0,Осмотреть Окно,"Наконец-то. Затаскиваем, пока никто не увидел. [Вычеркните C7. Возьмите карту №08. Уберите накладку №41 и карту №40.]"
8,v3p5,Осмотреть Шкаф,"Ну, что тут у нас? [Вычеркните G2. Возьмите карту №17.]"
8,c2j0,Окно + Спички,"Ладно, да, выкинем их. В яблочко! [Верните карту №26. Вычеркните F2.]"
8,z9v9,Окно + Спички,просто выкинем спички... [Верните карту №26. Вычеркните F2.]
8,m2j0,Окно + Спички,"Ладно, вернем это на место, пока никто не заметил. [Уберите накладку №45. Локации 09 и 10 теперь заблокированы.]"
8,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
8,c2k7,Окно + Труба,Она не пролезает между решетками.
8,c2t5,Окно + Метла,Выбросить её? Потом будет адски сложно достать обратно.
8,c2z0,Окно + Ключ,Не нужно; окно не заперто.
8,c6d3,Часы + Отвертка,Я не часовых дел мастер.
8,d3z4,Спички,"Ох, чёрт. Эти спички насквозь промокли! [Вычеркните G6. Возьмите карту №26.]"
8,g8d3,Труба + Отвертка,"Ого, это было слишком уж легко. [Вычеркните G1. Возьмите карту №16. Положите карту №45.]"
8,m2k7,Окно + Труба,Окно открыто. Нет нужды его разбивать.
8,m2t5,Окно + Метла,Окно открыто. Нет нужды его разбивать.
8,m2z0,Окно + Ключ,Прикинь: Окно. Открыто.
8,p1j9,Окно + Отвертка,"Если бы я хотел его открыть, я бы просто... открыл его."
8,p1v8,Окно + Снежный шар,Мой телефон — не пиньята.
9,b0b3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
9,d9b3,Охранник + Поддельная униформа,Моя выглядит точь-в-точь как его! [Перейдите к сцене A.]
9,d9i0,Осмотреть Охранника,"Он ест. Кажется, не замечает меня."
9,d9p5,Охранник + Открытка,"«Не сейчас, я ем. Проходи, приятель»."
9,d9s8,Охранник + Отвертка,"Я мошенник, а не убийца."
9,g3c7,Карта тюрьмы + Чертежи,Кухня прямо за той стойкой.
9,g3i0,Осмотреть Карту тюрьмы,Это план тюрьмы. Мы находимся здесь.
9,g3s8,Карта тюрьмы + Отвертка,"Не думаю, что стоит портить карту."
9,k3i0,Осмотреть Дверь кухни,Заперто.
9,k3z0,Дверь кухни + Ключ,Не тот ключ.
9,v8m4,Мусор + Спички,Я не собираюсь поджигать мусор.
9,v8z3,Мусор + Поддельная униформа,Она уже на мне.
9,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
10,bob3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
10,c8k7,Камера + Труба,"Как только кто-нибудь заметит, что она не работает, сразу поднимут тревогу."
10,d3j9,Камера + Отвертка,Не могу. Слишком высоко.
10,d3m6,Камера + Передатчик,"Единственное, что здесь транслируется — это твои вспышки гениальности."
10,d5i8,Гитара,Статистика трафика на «Шоссе в ад» против «Лестницы в небо».
10,m1e5,Труба,Она закрыта от камеры книгами.
10,m5io,Осмотреть Книги,"Книги по саморазвитию. «Моя первая заточка», «Контрабанда для чайников»."
10,m5k8,Осмотреть Книги,Не достать.
10,m5t5,Книги + Метла,Зачем мне это?
10,b5e1,Снежный шар + Труба,Слишком далеко. И камера меня заметит.
10,m5v4,Книги + Метла,"Книги начинают падать, как домино. Последняя ударяет по снежному шару. [Вычеркните D1. Уберите карту №48. Перейдите в локацию 09 и читайте g7e4.]"
10,b5p5,Осмотреть Снежный шар,"Не могу достать так, чтобы меня не заметили. [Вычеркните J8.]"
10,b5to,Осмотреть Снежный шар,Теперь мне просто нужно как-то заставить снежный шар упасть в трубу.
10,c8e8,Камера + Парящий телефон,"Сделать фото... К сожалению, единственное приложение, которое я знаю — это «Змейка». [Возьмите карту №49.]"
10,c8g8,Камера + Поддельная униформа,На записи будет только черный экран.
10,o8io,Осмотреть Камеру,Ненавижу эти штуки.
10,r6c7,Карты,Я бы показал тебе карточный фокус...
10,i9x3,,[Положите карту №48 в эту локацию.]
10,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
11,b0b3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
11,c9t8,Открытая вентиляция + Парящий телефон,"[Если C7: Читайте d0t4. Если B3: Читайте c9v7. Иначе:] Хотел бы я иметь это сейчас, но оно все еще в шкафчике снаружи."
11,k0j9,Стеллаж + Отвертка,"Да нет, у меня есть дела поинтереснее, чем разбирать эту штуку."
11,b0g8,Банки + Поддельная униформа,"Цвета уже не станут лучше, чем есть."
11,t0t0,Метла,Мне не нужна еще одна.
11,c9v7,Открытая вентиляция + Парящий телефон,"Да, хотел бы я иметь это сейчас, но оно все еще висит перед окном."
11,b0i0,Осмотреть Банки,В основном краска.
11,x1i0,Осмотреть Стеллаж,Ничего особенного.
11,b0t5,Банки + Метла,"Это метла, а не кисточка."
11,d0t4,Открытая вентиляция + Парящий телефон,"[Если B6: Читайте d1r1. Иначе:] Отличная идея, но если Муху поймают с контрабандой, все может пойти наперекосяк."
11,x1t5,Стеллаж + Метла,Достаточно чисто... кажется.
11,b7p5,Осмотреть Вентиляцию,Она очень высоко.
11,b7t1,Вентиляция + Метла,"[Если H5: Читайте b7t4. Иначе:] Может, мне стоит немного внимательнее изучить чертежи тюрьмы."
11,b7t4,Вентиляция + Метла,"шахта, ведущая прямо к камере Мухи. [Вычеркните K3. Уберите карту №20. Положите карту №51.]"
11,b7t8,Вентиляция + Парящий телефон,"Хорошая идея, но она закрыта."
11,b9d3,Вентиляция + Отвертка,"Думаю, её надо лишь немного подтолкнуть, и она откроется."
11,c9p5,Осмотреть Открытую вентиляцию,Я вижу немного...
11,e4j9,Банки + Отвертка,"[Вы открываете одну из банок.] Ага, краска."
11,j5z9,Книги,"«Эволюция размера бумаги, книги 1–3» — увлекательное чтиво, я уверен."
11,d1r1,Открытая вентиляция + Парящий телефон,[Вы отпускаете шарик в вентиляцию. Муха тянет за веревку. Вниз падает ключ-карта! Перейдите к сцене G.]
11,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
12,b0b3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
12,g1r7,Вышибала + Вешалка,"Э-э, нет, я даже не буду пытаться это сделать."
12,g1r9,Вышибала + Кирпич,тебе нужно мое удостоверение? Удостоверь ЭТО! [Ударить кирпичом по голове вышибалы. Он чешет нос.]
12,h9x4,Вентиль + Свинцовая труба,"[Рррррг-пфф] Вода снова пошла. [Вычеркните G9. Если H1: Читайте i3m9. Иначе: Ладно, что теперь?]"
12,i3m9,,[Перейдите в локацию 15 и читайте j5p0 там.]
12,j7i0,Осмотреть Вентиль,"Это вентиль, вентилирующий в ночи."
12,k0g4,Осмотреть Вентиль,Хм. Эта штука застряла.
12,k1g2,Осмотреть Вентиль,"Думаю, с этим я закончил."
12,m5e7,Неоновая вывеска,"Это «Голубая Мамба», самый горячий джаз-клуб в городе."
12,t1z7,Гавань,"Я слышал, иллюминаторы делают круглыми, чтобы волны не били «под прямым углом» в лицо."
12,z0g2,Вышибала + Мобильный телефон,У меня нет его номера.
12,z0g6,Вышибала + Монета,[Вычеркните F4. Перейдите к сцене J.]
12,z0g8,Вышибала + Поддельная униформа,"Не думаю, что это его обманет."
12,z0i0,Поговорить с Вышибалой,[Перейдите к сцене J.]
12,z0m7,Вышибала + Одежда,Он не бомж.
12,z0r3,Граффити,"Ай, карамба, действительно!"
12,z0t0,Вышибала + Зубная нить,"Э-э, не думаю, что это был бы самый умный ход."
12,z0v2,Вышибала + Коктейль,Я это обратно не отдам!
12,z0z3,Вышибала + Марка,[Вычеркните E9. Перейдите к сцене J.]
12,z6d4,Луна + Монета,"Если поднести монету к Луне, они очень похожи. Возможно, мне пора выпить таблетки."
12,z6p5,Осмотреть Луну,Внезапно настала ночь. Дизайнер — полный болван.
12,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
12,b2h7,Луна + Чертежи,"Если бы тюрьма была на Луне, это могло бы помочь."
12,b2j6,Луна + Магнит,"Интересно, достаточно ли силен мой магнит, чтобы притянуть Луну..."
12,b2j8,Луна + Кирпич,"[Луна врезается в Канталуп, убивая всех. Возьмите карту №28. Включить режим зомби.]"
12,b2x8,Луна + Презервативы,"Ты ведь на самом деле никогда не пользовался презервативом, да?"
12,g1c1,Вышибала + Коробка хлопьев,[Вычеркните G3. Перейдите к сцене J.]
12,g1e3,Вышибала + Игрушечный значок,"Не думаю, что это его обманет."
12,g1p0,,"Все прошло хорошо. Кажется, у меня есть первая половина команды."
12,g1p4,Вышибала + Чайные пакетики,"[Вышибала скрещивает руки и качает головой.] Хм, наверное, нет."
13,b0b3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
13,b6h8,Ржавый ключ + Магнит,Ключ слишком далеко.
