Number,Problem,Tip 1,Tip 2,Solution
204,Застряг у локації 18?,Роззирнись.,Перевір полиці біля дверей.,Візьміть зубну нитку між косметичними засобами.
205,Не можу знайти передавач у вбиральні Мухи.,Роззирнись.,Перевір дзеркало.,"Поєднай дзеркало з лупою, щоб отримати передавач та активувати c3."
206,Як мені полагодити вимикач?,"З'ясуй, що з ним не так.",Знайди спосіб не дати перемикачу клацнути назад.,"Поєднай вимикач із зубною ниткою, щоб активувати c2."
207,Я не можу вийти з вбиральні Мухи.,Роззирнись. Ти точно щось пропустив.,Той одяг може стати в пригоді.,"Хапай лахи, що висять на шторці для душу, щоб активувати a6."
208,"Здається, я закінчив у вбиральні Мухи.",Тобі варто спитати у тієї пані.,Перевір двері.,Викресли k6. Потім перейди до сцени F і прочитай новий варіант діалогу (для k6).
209,"Я не знаю, що робити далі.","Ти обіцяв Мусі, що перевдягнешся охоронцем.","З'ясуй, що носять тюремні наглядачі.","У локації 03 поєднай плакат із лупою, щоб активувати j9."
210,"Здається, я щось упускаю.","Перевір усі місця, куди маєш доступ.",Перевір свою оперативну базу.,"У локації 01 візьми чайні пакетики, щоб активувати d8."
211,Мені потрібна допомога з пошуком уніформи.,"Тобі слід пофарбувати одяг, який ти поцупив у Мухи.","Пошукай якусь водойму, де можна пофарбувати речі.","У локації 19 поєднай чашу зі святою водою та чайні пакетики, щоб активувати h3."
212,Я заварив чай у церкві. Що тепер?,Якого кольору тепер вода?,"Здається, такого ж, як сорочка охоронця.","Поєднай чашу зі святою водою з одягом, щоб активувати d4."
213,Я пофарбував сорочку в жовтий. Що далі?,Ти вже був у барі?,Глянь на плакат біля маяка.,"У локації 02 поєднай плакат із лупою, щоб активувати d3."
214,Я пофарбував сорочку в жовтий. Що далі?,Ти вже був у барі?,Поговори з Вишибалою.,"Йди до сцени J, щоб отримати коктейль та активувати e2."
215,Я пофарбував сорочку в жовтий. Що далі?,Тобі все ще потрібні зелені штани.,Як перетворити жовтий на зелений?,"У локації 19 поєднай чашу зі святою водою з коктейлем, щоб активувати h4."
216,Я пофарбував сорочку в жовтий. Що далі?,Якого кольору тепер свята вода?,"Здається, такого ж, як штани охоронця.","У локації 19 поєднай чашу зі святою водою з одягом, щоб активувати d5."
217,"Здається, я щось упускаю.",Озирнись у всіх доступних місцях.,"Що для одного сміття, те для іншого — скарб.","У локації 04 поєднай сміттєвий бак із лупою, щоб отримати пластівці та активувати e1."
218,Мені не вистачає значка для фальшивої форми.,Зазирни в коробку з пластівцями.,Уважно оглянь свої предмети.,"На коробці написано ""toy 1nside!"". Прочитай t0y1 в інвентарі, щоб отримати іграшковий значок і активувати g5."
219,Майже доробив форму. Чогось бракує?,Спробуй зібрати все докупи.,Причепи іграшковий значок на пофарбований одяг.,"Поєднай одяг зі значком, щоб створити фальшиву уніформу й активувати d6, а отже і k7."
220,"Здається, я щось упускаю.",Озирнись у всіх доступних місцях.,Зазирни на церковну вежу.,"У локації 20 візьми магніт праворуч, щоб активувати c6."
221,Я знайшов щось під контейнером (локація 04).,"Може, воно зроблене з металу.","Може, воно навіть магнітиться.","Поєднай контейнер з магнітом, щоб дістати вішалку і активувати f3."
222,"Не знаю, що робити з цією вішалкою.",Для чого вона взагалі потрібна?,Спробуй повісити на неї одяг.,"Поєднай вішалку з фальшивою формою, щоб активувати e6."
223,"Здається, я щось упускаю.",Озирнись у всіх доступних місцях.,Зазирни на церковну вежу.,"У локації 20 витягни цеглину зі стіни, щоб активувати a7."
224,"Не знаю, що робити з цією цеглиною.",Увімкни режим МакГайвера!,До цієї цеглини не додаються мотузки (поки що).,"Поєднай зубну нитку з цеглою, щоб активувати a9."
225,Не можу знайти спосіб передати речі у в'язницю.,Спробуй зайти з іншого боку. Буквально.,"Кажуть, з веж дуже зручно щось кидати.","У локації 20 поєднай вид (панораму) з цеглою, щоб активувати k5."
226,Я натягнув зіплайн (канатну дорогу).,Він не витримає твоєї ваги.,Можна щось на нього почепити і пустити вниз.,"Поєднай зіплайн з фальшивою уніформою, щоб активувати b9."
227,"Не знаю, як дістати креслення в'язниці.",Іноді варто ненадовго переключитися на щось інше.,"Є дві головні цілі, знаєш.",Спершу тобі треба просунутися в сюжетній лінії ЖІНКА В ЧЕРВОНОМУ [THE WOMAN IN RED].
228,"Здається, я щось упускаю.",Озирнись у всіх доступних місцях.,Перевір бар.,"У локації 13 візьми пляшку зі столу, щоб активувати c8."
229,"Не знаю, що робити з цією пляшкою.",А для чого взагалі пляшки?,Наповни пляшку водою.,"У локації 19 поєднай чашу зі святою водою з пляшкою, щоб активувати d9."
230,Мені треба позбутися секретарки (локація 17).,Вона сама не піде.,Підсип їй щось.,"Поєднай секретарку з коктейлем, щоб активувати j3."
231,Мені потрібна ключ-карта від архіву.,Ти міг би дістати її з абонентської скриньки.,Ключ-карти вміють плавати.,"Поєднай абонентську скриньку з пляшкою, щоб отримати ключ-карту й активувати f9."
232,Як дістати креслення?,Вони мають бути в національному архіві.,У тебе є ключ-карта... використай її!,"У локації 17 поєднай зчитувач карток із ключ-картою, щоб активувати k8."
233,Де ці кляті креслення?!,"Всередині архіву, очевидно.","Ти відчинив двері, тепер заходь!","У локації 17 перевір відчинені двері, щоб отримати креслення та активувати f6."
234,Муха залишив мені повідомлення у вбиральні.,Це у вбиральні в'язниці (локація 07).,Його послання не може бути на папері.,"У локації 07 пусти пару на дзеркало, увімкнувши гарячу воду в кранах, щоб активувати e5."
235,Що це на дзеркалі в локації 07?,Це не перевернута четвірка.,Тобі потрібен код для панелі. Використовуй вузли на малюнку Мухи.,"Вузли відповідають позиціям кнопок (1067 або 7601). Спробуй 1067 у локації 05, щоб активувати b5."
236,Я знаю код ліфта. Що тепер?,"Як щодо того, щоб піднятися нагору і роззирнутися?",За вікном бовтається уніформа.,"У локації 08 поєднай вікно з лупою, щоб дістати уніформу та активувати d7."
237,Я затягнув форму всередину. Що далі?,"Нагадай-но, що зазвичай роблять з уніформою?","Знайдіть тихе місце, де її можна вдягнути.","У локації 07 поєднай туалетну кабінку з фальшивою уніформою, щоб активувати a2."
238,"Тепер я можу вільно ходити, але що далі?","Оглянь нові кімнати, які ти відкрив.",Слідуй за єдинорогом.,"У локації 10 поєднай снігову кулю з лупою, щоб активувати i8."
239,"Здається, я щось упускаю.",Озирнись у в'язниці.,Перевір кімнату охорони.,"У локації 08 поєднай шафку з лупою, щоб отримати викрутку та активувати g2."
240,У мене є ця викрутка. Що тепер?,Помітив десь гвинти?,Оглянь двері в їдальні.,"У локації 09 поєднай двері з викруткою, щоб відкрутити решітку та активувати k4."
241,Друге використання викрутки?,Озирнись у в'язниці.,"Подивись, на чому ще її можна використати.","У локації 08 поєднай трубу з викруткою, щоб відкрутити її та активувати g1."
242,Я відкрутив дверну решітку. Що тепер?,Куди взагалі ведуть ці двері?,"Тобі потрібен якийсь пандус (жолоб), щоб спустити кулю вниз.","У локації 09 поєднай отвір у дверях з трубою, щоб активувати b8."
243,"Здається, я щось упускаю.",Озирнись у в'язниці.,Зазирни до їдальні.,"У локації 09 візьми мітлу, що стоїть біля задньої стіни, щоб активувати g4."
244,Як загнати кулю в трубу?,Колись грав у доміно?,Штурхни книги довгою палицею.,"У локації 10 поєднай книги з мітлою, щоб отримати снігову кулю та активувати d1."
245,Для чого мені ця куля?,Всередині є єдиноріг!,Маленькі дівчатка люблять єдинорогів. Зустрічав таких останнім часом?,"У локації 06 поєднай дівчинку зі сніговою кулею, щоб активувати b7."
246,Код від сейфа в кабінеті директора?,Паролі мають емоційне значення.,"Код — це, мабуть, день народження малої.","Дівчинці 9 років. День народження 7 червня. Народилася 7 червня 2011. Спробуй 6711 у локації 06, щоб активувати a4."
247,Знайшов ключ у сейфі. Від чого він?,Знаходив у в'язниці щось замкнене?,Перевір двері ліворуч у коридорі.,"У локації 05 поєднай двері ліворуч із ключем, щоб активувати g8."
248,Застряг у тюремній коморі.,"Уважно роздивись усе, що ти встиг зібрати.",Глянь на креслення в'язниці.,"Поєднай креслення з лупою, щоб активувати h5."
249,Що кажуть креслення?,Що тобі підказують плани?,Тобі треба відкрити ту вентиляцію.,"Поєднай вентиляційний отвір з мітлою, щоб активувати k3."
250,Потрібен мобільний телефон у в'язниці.,Іноді варто сфокусуватися на чомусь іншому.,"Є дві головні цілі, знаєш.",Спершу тобі треба просунутися в сюжетній лінії ЖІНКА В ЧЕРВОНОМУ [THE WOMAN IN RED].
251,Потрібен телефон усередині. Авіапошта?,"Ти вже думав про ""авіапошту""?",Зроби повітряну кульку.,"У локації 16 поєднай балони з гелієм та презервативи, щоб отримати кульку й активувати a5."
252,Телефон усередині. Кулька?,"Ти вже думав про ""авіапошту""?",Прив'яжи кульку до телефона.,"Поєднай телефон з кулькою, щоб створити летючий телефон і активувати f8."
253,Летючий телефон готовий. Що тепер?,"Послухай Ельзу: ""Відпусти і забудь!""",Розмісти його біля вікна без охорони на задньому дворі в'язниці.,"У локації 04 поєднай вікно з летючим телефоном, щоб активувати b3."
254,Мені потрібен мій телефон назад.,Куди ти його дів?,Перевір кімнату охорони.,"У локації 08 поєднай вікно з лупою, щоб дістати телефон і активувати c7."
255,Чогось бракує? Передавач?,Куди подівся передавач?,Перевір кишені.,"Поєднай фальшиву уніформу з лупою, щоб дістати передавач і активувати a3."
256,Використання передавача всередині?,"Згадай, що казав Муха.",Встав його в комп'ютер начальника.,"У локації 06 поєднай комп'ютер із передавачем, щоб активувати b6."
257,Як передати телефон Мусі?,"Послухай Ельзу: ""Відпусти і забудь!""",Використай відкриту вентиляцію в коморі.,"У локації 11 поєднай відкриту вентиляцію з летючим телефоном, щоб активувати c1."
258,Муха на свободі. Що далі?,Хіба в тебе немає інших справ?,"Є ще одна головна мета, знаєш.",Ти закінчив з цією сюжетною гілкою. Тепер заверши ЖІНКУ В ЧЕРВОНОМУ [THE WOMAN IN RED].
