Number,Problem,Tip 1,Tip 2,Solution
224,"Не знаю, что делать с этим кирпичом.",Врубай режим МакГайвера!,К этому кирпичу не прилагаются веревки (пока что).,"Совмести зубную нить с кирпичом, чтобы активировать a9."
225,Не могу найти способ передать вещи в тюрьму.,Попробуй зайти с другой стороны. Буквально.,"Говорят, с башен очень удобно что-то бросать.","В локации 20 совмести вид (панораму) с кирпичом, чтобы активировать k5."
226,Я натянул зиплайн (канатную дорогу).,Он не выдержит твоего веса.,Можно что-то на него повесить и пустить вниз.,"Совмести зиплайн с фальшивой униформой, чтобы активировать b9."
227,"Не знаю, как достать чертежи тюрьмы.",Иногда стоит ненадолго переключиться на что-то другое.,"Есть две главные цели, знаешь ли.",Сначала тебе нужно продвинуться в сюжетной линии ЖЕНЩИНА В КРАСНОМ [THE WOMAN IN RED].
228,"Кажется, я что-то упускаю.",Осмотрись во всех доступных местах.,Проверь бар.,"В локации 13 возьми бутылку со стола, чтобы активировать c8."
229,"Не знаю, что делать с этой бутылкой.",А для чего вообще бутылки?,Наполни бутылку водой.,"В локации 19 совмести чашу со святой водой с бутылкой, чтобы активировать d9."
230,Мне нужно избавиться от секретарши (локация 17).,Она сама не уйдет.,Подсыпь ей что-нибудь.,"Совмести секретаршу с коктейлем, чтобы активировать j3."
231,Мне нужна ключ-карта от архива.,Ты мог бы достать её из абонентского ящика.,Ключ-карты умеют плавать.,"Совмести абонентский ящик с бутылкой, чтобы получить ключ-карту и активировать f9."
232,Как достать чертежи?,Они должны быть в национальном архиве.,У тебя есть ключ-карта... используй её!,"В локации 17 совмести считыватель карт с ключ-картой, чтобы активировать k8."
233,Где эти чертовы чертежи?!,"Внутри архива, очевидно.","Ты открыл дверь, теперь заходи!","В локации 17 проверь открытую дверь, чтобы получить чертежи и активировать f6."
234,Муха оставил мне сообщение в туалете.,Это в тюремном туалете (локация 07).,Его послание не может быть на бумаге.,"В локации 07 пусти пар на зеркало, включив горячую воду в кранах, чтобы активировать e5."
235,Что это на зеркале в локации 07?,Это не перевернутая четверка.,Тебе нужен код для панели. Используй узлы на рисунке Мухи.,"Узлы соответствуют позициям кнопок (1067 или 7601). Попробуй 1067 в локации 05, чтобы активировать b5."
236,Я знаю код лифта. Что теперь?,"Как насчет того, чтобы подняться наверх и осмотреться?",За окном болтается униформа.,"В локации 08 совмести окно с лупой, чтобы достать униформу и активировать d7."
237,Я затащил форму внутрь. Что дальше?,"Напомни-ка, что обычно делают с униформой?","Найди тихое место, где ее можно надеть.","В локации 07 совмести туалетную кабинку с фальшивой униформой, чтобы активировать a2."
238,"Теперь я могу свободно ходить, но что дальше?","Осмотри новые комнаты, которые ты открыл.",Следуй за единорогом.,"В локации 10 совмести снежный шар с лупой, чтобы активировать i8."
239,"Кажется, я что-то упускаю.",Осмотрись в тюрьме.,Проверь комнату охраны.,"В локации 08 совмести шкафчик с лупой, чтобы получить отвертку и активировать g2."
240,У меня есть эта отвертка. Что теперь?,Заметил где-нибудь винты?,Осмотри дверь в столовой.,"В локации 09 совмести дверь с отверткой, чтобы отвинтить решетку и активировать k4."
241,Второе использование отвертки?,Осмотрись в тюрьме.,"Посмотри, на чем еще ее можно использовать.","В локации 08 совмести трубу с отверткой, чтобы отвинтить ее и активировать g1."
242,Я отвинтил дверную решетку. Что теперь?,Куда вообще ведет эта дверь?,"Тебе нужен какой-то пандус (желоб), чтобы спустить шар вниз.","В локации 09 совмести отверстие в двери с трубой, чтобы активировать b8."
243,"Кажется, я что-то упускаю.",Осмотрись в тюрьме.,Загляни в столовую.,"В локации 09 возьми метлу, стоящую у задней стены, чтобы активировать g4."
244,Как загнать шар в трубу?,Когда-нибудь играл в домино?,Подтолкни книги длинной палкой.,"В локации 10 совмести книги с метлой, чтобы получить снежный шар и активировать d1."
245,Для чего мне этот шар?,Внутри есть единорог!,Маленькие девочки любят единорогов. Встречал таких в последнее время?,"В локации 06 совмести девочку со снежным шаром, чтобы активировать b7."
246,Код от сейфа в кабинете директора?,Пароли имеют эмоциональное значение.,"Код — это, должно быть, день рождения малышки.","Девочке 9 лет. День рождения 7 июня. Родилась 7 июня 2011. Попробуй 6711 в локации 06, чтобы активировать a4."
247,Нашел ключ в сейфе. От чего он?,Находил в тюрьме что-то запертое?,Проверь дверь слева в коридоре.,"В локации 05 совмести дверь слева с ключом, чтобы активировать g8."
248,Застрял в тюремной кладовой.,"Внимательно осмотри всё, что ты успел собрать.",Взгляни на чертежи тюрьмы.,"Совмести чертежи с лупой, чтобы активировать h5."
249,Что говорят чертежи?,Что тебе подсказывают планы?,Тебе нужно открыть ту вентиляцию.,"Совмести вентиляционное отверстие с метлой, чтобы активировать k3."
250,Нужен мобильный телефон в тюрьме.,Иногда стоит сфокусироваться на чем-то другом.,"Есть две главные цели, знаешь ли.",Сначала тебе нужно продвинуться в сюжетной линии ЖЕНЩИНА В КРАСНОМ [THE WOMAN IN RED].
251,Нужен телефон внутри. Авиапочта?,"Ты уже думал об ""авиапочте""?",Сделай воздушный шарик.,"В локации 16 совмести баллоны с гелием и презервативы, чтобы получить шарик и активировать a5."
252,Телефон внутри. Шарик?,"Ты уже думал об ""авиапочте""?",Привяжи шарик к телефону.,"Совмести телефон с шариком, чтобы создать летающий телефон и активировать f8."
253,Летающий телефон готов. Что теперь?,"Послушай Эльзу: ""Отпусти и забудь!""",Размести его у неохраняемого окна на заднем дворе тюрьмы.,"В локации 04 совмести окно с летающим телефоном, чтобы активировать b3."
254,Мне нужен мой телефон обратно.,Куда ты его дел?,Проверь комнату охраны.,"В локации 08 совмести окно с лупой, чтобы достать телефон и активировать c7."
255,Чего-то не хватает? Передатчик?,Куда делся передатчик?,Проверь карманы.,"Совмести фальшивую униформу с лупой, чтобы достать передатчик и активировать a3."
256,Использование передатчика внутри?,"Вспомни, что говорил Муха.",Вставь его в компьютер начальника.,"В локации 06 совмести компьютер с передатчиком, чтобы активировать b6."
257,Как передать телефон Мухе?,"Послушай Эльзу: ""Отпусти и забудь!""",Используй открытую вентиляцию в кладовой.,"В локации 11 совмести открытую вентиляцию с летающим телефоном, чтобы активировать c1."
258,Муха на свободе. Что дальше?,Разве у тебя нет других дел?,"Есть еще одна главная цель, знаешь ли.",Ты закончил с этой сюжетной веткой. Теперь заверши ЖЕНЩИНУ В КРАСНОМ [THE WOMAN IN RED].
